ZIP;AGE;GENDER;INCOME;STATE;RAMNTALL;NGIFTALL;MINRAMNT
91326;46;Male;6000;CA;47;3;10
95953;70;Female;1000;CA;109;16;2
33176;78;Female;3000;FL;254;37;3
46755;38;Female;4000;IN;107;14;3
46220;75;Male;1000;IN;25;2;10
56475;72;Female;4000;MN;48;9;4
84720;70;Male;4000;UT;74;7;5
48067;44;Male;1000;MI;37;3;10
62376;46;Female;7000;IL;100;4;15
32810;62;Female;4000;FL;81;10;5
55125;62;Female;3000;MN;61;15;2
49247;82;Male;2000;MI;25;1;25
55044;46;Female;7000;MN;36;4;5
93527;54;Male;7000;CA;107;6;10
60091;42;Female;7000;IL;50;1;50
64468;84;Male;7000;MO;71;8;3
77381;49;Female;7000;TX;102;12;5
62249;38;Female;4000;IL;57;7;5
63031;72;Male;1000;MO;40;2;20
27106;84;Female;4000;NC;40;2;15
33143;69;Female;4000;FL;220;13;5
78748;69;Male;4000;TX;25;1;25
90274;88;Female;5000;CA;291;18;5
55112;75;Female;6000;MN;96;8;10
55066;84;Female;3000;MN;94;10;3
98006;30;Male;7000;WA;30;2;10
33332;44;Male;7000;FL;68;4;10
53221;51;Female;5000;WI;338;29;5
52402;66;Female;5000;IA;102;21;3
36322;72;Female;4000;AL;123;16;3
46350;88;Male;3000;IN;91;8;5
75606;68;Male;4000;TX;42;2;20
61273;83;Female;3000;IL;216;22;5
27703;45;Female;4000;NC;102;7;5
27105;44;Female;6000;NC;117;11;5
33056;61;Female;6000;FL;125;12;1
62959;40;Male;2000;IL;49;5;3
36005;62;Female;3000;AL;40;3;10
46987;48;Female;5000;IN;35;4;5
77515;34;Male;4000;TX;23;1;23
31322;80;Female;5000;GA;15;1;15
76028;36;Female;4000;TX;55;7;3
31816;50;Male;7000;GA;20;1;20
28105;41;Female;4000;NC;35;6;3
34231;80;Male;3000;FL;175;11;3
47635;84;Male;2000;IN;100;6;10
95966;84;Female;2000;CA;98;28;1
29020;72;C;4000;SC;307;16;10
92163;80;Male;4000;CA;130;21;2
48302;54;Female;7000;MI;153;14;5
60406;72;Male;1000;IL;103;11;3
92625;69;Female;6000;CA;132;12;5
33319;62;Female;3000;FL;128;16;3
53562;47;Male;5000;WI;80;4;9
75082;54;Female;7000;TX;35;4;5
57783;66;Male;4000;SD;15;1;15
30738;33;Female;5000;GA;35;3;10
42001;63;Male;3000;KY;73;4;10
33433;64;Female;7000;FL;50;1;50
79602;59;Female;3000;TX;198;11;5
28644;78;Female;5000;NC;127;13;5
40214;77;Male;1000;KY;31;7;3
30032;73;Male;1000;GA;94;10;5
97470;87;Male;2000;OR;116;18;3
85365;50;Female;3000;AZ;74;7;5
34239;89;Female;5000;FL;125;20;3
33736;83;Female;2000;FL;275;21;5
90220;68;Female;1000;CA;296;20;5
29374;59;Male;3000;SC;127;13;5
75043;78;Female;1000;TX;82;6;5
32073;59;Male;5000;FL;680;18;10
92545;77;Male;6000;CA;120;5;15
79762;86;U;5000;TX;181;21;5
76252;46;Male;6000;TX;47;3;5
28379;52;Female;5000;NC;15;1;15
94901;51;Male;7000;CA;206;11;3
89014;61;Female;4000;NV;27;3;5
36608;50;Male;6000;AL;25;1;25
70711;68;Male;4000;LA;294;18;5
73159;66;Female;4000;OK;25;3;5
77079;76;Male;7000;TX;1367;33;20
99508;69;Female;4000;AK;44;4;10
65473;26;Male;3000;MO;57;6;5
34691;76;Male;3000;FL;30;2;15
92056;83;Male;4000;CA;158;21;3
32174;58;Female;3000;FL;35;3;10
55411;61;Female;5000;MN;80;11;3
70122;71;Male;2000;LA;32;5;5
67218;54;Female;3000;KS;25;1;25
34748;73;Female;2000;FL;61;5;5
60646;86;Female;5000;IL;146;13;5
85284;39;Female;7000;AZ;204;14;5
60463;80;Female;7000;IL;94;4;15
61554;48;Female;4000;IL;50;4;5
91030;73;Female;1000;CA;53;5;5
49445;82;Male;7000;MI;73;7;5
61008;44;Female;1000;IL;175;4;23
78748;75;Male;4000;TX;136;9;5
48455;33;Male;6000;MI;48;3;10
99709;40;Female;7000;AK;240;15;10
98292;83;Male;3000;WA;177;25;5
60625;92;Female;5000;IL;87;9;5
34208;73;Female;2000;FL;268;23;1
48310;68;Female;1000;MI;105;7;5
65233;42;Female;7000;MO;77;5;10
95628;68;Male;6000;CA;102;2;50
32176;81;Female;2000;FL;37;7;3
97071;50;Female;4000;OR;30;2;10
78040;56;Female;2000;TX;86;11;3
77028;40;Female;5000;TX;101;6;5
72761;79;Male;2000;AR;245;10;10
88001;37;Male;4000;NM;236;19;3
36915;60;Male;2000;AL;133;16;3
95926;67;Female;5000;CA;47;3;5
37217;68;Male;6000;TN;376;36;5
73505;72;Male;1000;OK;87;12;4
59801;68;Male;2000;MT;82;19;1
32801;88;Female;1000;FL;160;19;3
31206;70;Male;4000;GA;25;2;10
48911;42;Female;7000;MI;37;3;10
32789;45;Female;5000;FL;41;9;3
41018;42;Female;4000;KY;25;1;25
75065;48;Female;2000;TX;270;17;10
94514;46;Female;6000;CA;127;4;25
49028;76;Male;1000;MI;79;9;5
90044;48;Female;1000;CA;23;1;23
98198;44;Female;7000;WA;56;4;5
38930;76;Female;2000;MS;30;2;10
27948;45;Female;4000;NC;40;6;3
92117;86;Female;5000;CA;225;3;25
94131;50;Female;7000;CA;26;2;6
80915;76;Male;4000;CO;25;1;25
28560;68;Female;2000;NC;61;12;3
92592;39;Female;5000;CA;42;4;5
75232;74;Female;5000;TX;30;2;10
32776;34;Female;5000;FL;20;2;5
30506;30;Male;4000;GA;25;1;25
48235;58;Female;7000;MI;75;13;5
70001;49;Male;1000;LA;190;29;2
98205;64;Male;7000;WA;35;4;5
30542;34;Male;6000;GA;32;3;10
48446;85;Female;1000;MI;134;30;1
98513;48;Male;6000;WA;35;3;5
92020;78;Female;6000;CA;237;12;5
33838;82;Male;2000;FL;153;9;5
98902;41;Male;4000;WA;78;8;5
77573;64;Male;7000;TX;133;9;5
93550;46;Male;4000;CA;50;4;10
87107;58;Male;7000;NM;60;5;5
95136;41;Male;6000;CA;106;8;5
92256;53;Female;5000;CA;47;4;5
