ZIP;AGE;GENDER;INCOME;STATE;RAMNTALL;NGIFTALL;MINRAMNT
32810;62;Female;4000;FL;81;10;5
46350;88;Male;3000;IN;91;8;5
36005;62;Female;3000;AL;40;3;10
31322;80;Female;5000;GA;15;1;15
47635;84;Male;2000;IN;100;6;10
29020;72;C;4000;SC;307;16;10
42001;63;Male;3000;KY;73;4;10
91030;73;Female;1000;CA;53;5;5
78748;75;Male;4000;TX;136;9;5
34208;73;Female;2000;FL;268;23;1
32801;88;Female;1000;FL;160;19;3
90044;48;Female;1000;CA;23;1;23
98205;64;Male;7000;WA;35;4;5
98902;41;Male;4000;WA;78;8;5
94536;36;Female;6000;CA;30;2;10
90802;53;Female;3000;CA;29;4;5
93705;82;Female;2000;CA;15;1;15
94526;70;Female;6000;CA;18;2;3
53212;58;Female;1000;WI;24;3;2
79109;65;Male;3000;TX;25;2;5
27263;49;Male;5000;NC;182;20;5
27587;42;Male;7000;NC;87;6;5
62002;48;Male;4000;IL;175;6;25
80537;56;Female;5000;CO;41;5;5
47714;49;Male;5000;IN;69;6;5
85715;62;Male;7000;AZ;135;20;4
49068;71;Male;2000;MI;79;7;5
48126;31;Female;7000;MI;20;1;20
67212;86;Female;1000;KS;15;1;15
97355;85;Female;5000;OR;1248;71;0
78242;69;Male;4000;TX;108;9;5
93035;51;Female;7000;CA;91;5;5
89128;52;Male;5000;NV;35;3;10
78721;54;Female;4000;TX;51;3;15
63119;39;Female;4000;MO;15;1;15
84075;26;Female;3000;UT;15;1;15
55106;60;Male;2000;MN;63;12;3
33004;73;Male;6000;FL;83;5;10
94530;38;Male;5000;CA;131;17;5
60187;71;Male;5000;IL;52;4;10
46220;32;Female;2000;IN;45;2;20
68123;35;Female;5000;NE;60;4;10
85710;77;Female;4000;AZ;106;13;3
98004;30;Male;7000;WA;45;5;5
98264;38;Male;2000;WA;50;3;10
91761;34;Male;4000;CA;48;3;13
27107;84;Male;1000;NC;25;1;25
49426;75;Female;3000;MI;103;8;3
38920;64;Male;3000;MS;43;4;5
49242;45;Male;1000;MI;130;13;5
53210;74;Female;1000;WI;125;39;2
54304;85;Female;2000;WI;346;29;5
67854;86;Female;4000;KS;205;15;10
33801;82;Female;2000;FL;75;31;2
92780;53;Female;6000;CA;20;2;5
75082;58;Female;6000;TX;114;11;3
39307;75;Female;2000;MS;32;4;5
71106;82;Female;2000;LA;60;7;5
49504;54;Female;3000;MI;36;4;5
92373;69;Male;7000;CA;142;11;3
46320;84;Male;5000;IN;57;4;5
35987;76;Male;2000;AL;460;29;7
93638;71;Male;7000;CA;112;6;10
73507;71;Male;3000;OK;30;3;5
32548;76;Female;4000;FL;45;1;45
34471;76;Female;4000;FL;111;12;5
29631;42;Male;6000;SC;38;5;5
71018;92;Female;4000;LA;151;23;3
33316;82;Male;1000;FL;418;31;3
33173;48;Female;4000;FL;15;1;15
32541;52;Male;2000;FL;61;6;5
72762;75;Female;5000;AR;193;10;3
32112;79;Female;1000;FL;89;21;2
94602;92;Male;5000;CA;225;13;5
64037;33;Male;1000;MO;30;2;15
89102;32;Male;1000;NV;28;2;8
36866;76;Male;1000;AL;40;3;10
28152;79;Male;6000;NC;15;1;15
30033;49;Male;5000;GA;104;11;5
52411;37;Female;6000;IA;80;7;10
85748;83;Female;4000;AZ;122;10;5
78411;72;Female;5000;TX;206;12;5
72454;66;Female;1000;AR;70;5;5
55115;34;Female;5000;MN;115;7;10
46901;44;U;3000;IN;220;13;5
97202;77;Female;3000;OR;79;12;3
69341;70;Male;2000;NE;136;20;0
32935;57;Female;4000;FL;59;9;3
48219;58;Female;6000;MI;56;6;5
93907;48;Female;6000;CA;20;1;20
85014;89;Male;4000;AZ;110;17;1
95630;96;Male;3000;CA;300;34;5
31714;84;Male;5000;GA;212;24;5
99208;40;Male;2000;WA;104;13;4
83530;82;Female;6000;ID;79;17;2
73128;61;Male;5000;OK;370;14;5
74959;54;Female;2000;OK;165;14;5
94109;68;Female;2000;CA;20;1;20
56301;38;Female;4000;MN;96;12;3
47501;50;Male;2000;IN;30;2;10
37027;39;Male;6000;TN;67;7;5
48091;40;Female;5000;MI;62;4;10
94404;73;Male;5000;CA;30;3;5
74133;54;Female;4000;OK;45;4;5
48034;44;Female;6000;MI;18;1;18
33302;62;Male;3000;FL;44;4;10
39567;69;Male;4000;MS;71;5;5
53006;88;Male;3000;WI;79;11;5
48093;41;Male;5000;MI;78;6;5
74105;50;Female;2000;OK;240;10;15
96819;82;Male;5000;HI;57;9;5
77478;35;Male;5000;TX;162;8;5
53151;28;Female;7000;WI;124;8;5
93725;63;Male;2000;CA;66;5;10
29445;49;Male;6000;SC;91;6;10
29451;60;Male;3000;SC;63;7;3
50578;85;Female;1000;IA;35;2;10
89502;81;Female;3000;NV;29;5;3
34116;85;Female;2000;FL;336;21;5
52403;42;Female;7000;IA;48;5;6
72526;44;Female;4000;AR;163;18;5
46816;72;Male;2000;IN;15;1;15
62568;86;Female;6000;IL;140;16;3
56156;62;Male;7000;MN;35;2;10
98672;82;Female;2000;WA;89;10;3
67218;73;Male;2000;KS;152;13;5
47712;41;Male;2000;IN;128;14;5
47421;86;Male;5000;IN;65;11;3
73507;83;Female;2000;OK;25;3;5
73116;86;Female;5000;OK;161;19;1
42038;72;Male;3000;KY;81;5;15
77035;58;Female;5000;TX;38;12;2
42721;61;Female;7000;KY;118;23;2
33176;86;Male;7000;FL;201;23;5
90715;43;Male;2000;CA;20;1;20
89115;46;Male;4000;NV;90;3;20
79412;47;Male;2000;TX;235;10;10
55426;51;Male;3000;MN;81;11;1
39553;42;Female;2000;MS;51;5;5
29627;50;Female;3000;SC;119;23;3
60620;77;Female;5000;IL;569;52;5
48316;58;Male;5000;MI;115;8;10
36344;46;Female;7000;AL;57;5;5
80110;68;Female;2000;CO;80;9;3
68164;86;Male;7000;NE;176;12;5
33634;62;Female;3000;FL;98;18;3
94525;98;U;7000;CA;140;15;5
60089;48;Male;5000;IL;103;7;5
53097;45;Female;6000;WI;39;4;5
77708;57;Male;6000;TX;125;18;3
38122;30;Female;5000;TN;165;15;3
55428;68;Female;2000;MN;202;18;1
85737;69;Female;7000;AZ;125;4;0
49459;66;Male;3000;MI;50;6;3
90069;64;Female;6000;CA;800;4;50
80104;56;Male;4000;CO;55;4;5
70363;59;Female;7000;LA;74;7;10
97114;64;Female;3000;OR;144;11;5
48433;39;Male;5000;MI;164;25;3
46013;63;Female;3000;IN;204;3;4
92071;52;Male;6000;CA;50;1;50
27587;54;Male;7000;NC;70;3;20
79015;56;Male;7000;TX;80;3;20
73165;46;Female;5000;OK;48;6;5
62703;50;Male;7000;IL;234;22;5
29506;57;Male;3000;SC;130;5;10
67047;66;Male;1000;KS;52;7;5
78718;38;Male;4000;TX;57;3;15
48603;81;Male;2000;MI;138;18;2
77833;84;Female;7000;TX;32;4;5
70809;78;Male;5000;LA;175;52;2
34983;54;Male;4000;FL;35;2;15
94080;87;Female;2000;CA;133;15;4
91204;54;Female;5000;CA;55;6;5
97351;86;Male;2000;OR;227;16;5
78263;50;Female;5000;TX;252;42;3
80304;39;Male;2000;CO;60;4;5
65746;80;Female;1000;MO;110;15;3
28721;70;Female;2000;NC;15;1;15
29307;86;Female;5000;SC;115;9;5
62851;81;Female;1000;IL;104;22;2
98516;66;Female;6000;WA;80;9;3
75069;54;Female;4000;TX;469;34;3
21214;86;Female;2000;MD;87;7;10
92683;57;Male;6000;CA;251;17;10
92630;75;Male;2000;CA;100;5;20
29926;65;Male;4000;SC;88;11;3
92084;60;Male;5000;CA;101;7;10
49779;87;Male;4000;MI;66;14;3
60953;42;Female;3000;IL;55;4;5
79414;56;Female;2000;TX;91;5;10
88005;83;Female;2000;NM;25;4;5
83712;61;Male;5000;ID;31;3;5
46201;76;Female;2000;IN;73;9;3
89122;50;Female;3000;NV;15;1;15
34472;79;Male;5000;FL;100;12;3
35401;59;Female;2000;AL;20;2;5
35242;48;Male;7000;AL;65;8;5
93953;82;U;7000;CA;324;9;10
91950;72;Female;1000;CA;51;4;5
38053;50;Female;5000;TN;123;10;6
80917;76;Female;4000;CO;41;6;3
98115;78;Male;7000;WA;82;9;5
30349;36;Female;7000;GA;30;2;10
28023;54;Female;5000;NC;154;11;5
30075;59;Male;7000;GA;109;12;0
76117;28;Male;4000;TX;51;3;15
94608;85;Male;1000;CA;210;19;3
61109;46;Female;4000;IL;28;4;5
58103;84;Female;5000;ND;69;7;5
49456;79;Male;1000;MI;120;12;5
91342;64;Male;4000;CA;160;12;10
48093;75;Female;2000;MI;26;2;10
85635;54;Female;4000;AZ;120;7;10
90270;79;Female;1000;CA;37;6;5
60087;74;Male;4000;IL;184;13;5
75778;68;Female;2000;TX;158;14;5
38852;44;Female;5000;MS;101;8;10
73601;59;Female;4000;OK;86;11;3
55124;86;Female;1000;MN;111;24;2
63144;83;Male;1000;MO;96;22;2
95616;76;Male;4000;CA;121;9;5
33020;75;Female;1000;FL;363;25;3
97233;53;Female;4000;OR;52;5;5
63033;40;Female;3000;MO;75;17;2
79756;84;Female;2000;TX;267;8;20
46304;40;Female;4000;IN;29;4;3
27253;44;Female;5000;NC;55;2;25
05033;78;Male;2000;VT;39;11;2
60505;48;Male;5000;IL;60;4;15
49505;70;Female;2000;MI;34;8;3
30436;72;Male;2000;GA;25;1;25
49229;47;Female;5000;MI;31;3;5
94546;72;Female;3000;CA;42;3;10
35064;57;Male;3000;AL;40;3;5
49935;41;Male;7000;MI;129;21;5
95403;44;Female;5000;CA;20;1;20
48647;78;Male;3000;MI;56;4;5
40205;41;Female;4000;KY;180;18;5
27536;45;Female;4000;NC;101;18;3
99824;61;Male;6000;AK;56;4;10
48185;70;Female;2000;MI;140;11;5
47401;66;Male;4000;IN;24;2;6
77373;37;Male;1000;TX;87;7;5
76117;38;Male;2000;TX;62;3;5
95660;74;Male;4000;CA;247;35;2
95355;76;Male;6000;CA;107;11;5
