White only;White;*
NIU (Not in universe);NIU (Not in universe);*
Black only;Black;*
White-Black;White;*
Asian only;Asian;*
White-American Indian;White;*
American Indian, Alaskan Native;White;*
White-Asian;White;*
Hawaiian Pacific Islander only;White;*
White-Hawaiian;White;*
Asian-Hawaiian;Asian;*
White-Black-Asian;White;*
Black-American Indian;Black;*
White-Black-American Indian;White;*
Black-Asian;Black;*
American Indian-Asian;Asian;*
White-American Indian-Asian;White;*
2 or 3 races, unspecified;unspecified;*
White-Asian-Hawaiian;White;*
White-Black-American Indian-Asian;White;*
4 or 5 races, unspecified;unspecified;*
Black-Hawaiian;Black;*
Asian or Pacific Islander;Asian;*
