0;0-9;0-19;*
Alabama;0-9;0-19;*
Alaska;0-9;0-19;*
American Samoa;0-9;0-19;*
Arizona;0-9;0-19;*
Arkansas;0-9;0-19;*
California;0-9;0-19;*
7;0-9;0-19;*
Colorado;0-9;0-19;*
Connecticut;0-9;0-19;*
Delaware;10-19;0-19;*
Dist of Columbia;10-19;0-19;*
Florida;10-19;0-19;*
Guam;10-19;0-19;*
Georgia;10-19;0-19;*
Hawaii;10-19;0-19;*
Idaho;10-19;0-19;*
Illinois;10-19;0-19;*
Indiana;10-19;0-19;*
Iowa;10-19;0-19;*
Kansas;20-29;20-39;*
Kentucky;20-29;20-39;*
Louisiana;20-29;20-39;*
Maine;20-29;20-39;*
Maryland;20-29;20-39;*
Massachusetts;20-29;20-39;*
Michigan;20-29;20-39;*
Minnesota;20-29;20-39;*
Mississippi;20-29;20-39;*
Missouri;20-29;20-39;*
Montana;30-39;20-39;*
Nebraska;30-39;20-39;*
Nevada;30-39;20-39;*
New Hampshire;30-39;20-39;*
New Jersey;30-39;20-39;*
New Mexico;30-39;20-39;*
New York;30-39;20-39;*
North Carolina;30-39;20-39;*
North Dakota;30-39;20-39;*
Ohio;30-39;20-39;*
Oklahoma;40-49;40-59;*
Oregon;40-49;40-59;*
Pennsylvania;40-49;40-59;*
Puerto Rico;40-49;40-59;*
Rhode Island;40-49;40-59;*
South Carolina;40-49;40-59;*
South Dakota;40-49;40-59;*
Tennessee;40-49;40-59;*
Texas;40-49;40-59;*
Utah;40-49;40-59;*
Vermont;50-59;40-59;*
Virginia;50-59;40-59;*
Virgin Islands;50-59;40-59;*
Washington;50-59;40-59;*
West Virginia;50-59;40-59;*
Wisconsin;50-59;40-59;*
Wyoming;50-59;40-59;*
