;;;;;;K;Records;QIs;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;1.0;0.0;4.145;0.0;0.0;0.0;0.0
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;1.0;0.0;3.68;0.0;0.0;0.0;0.0
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;2.0;5.200484415313302E-5;7.57;0.0;0.0;5.8309006879523556E-5;5.8309006879523556E-5
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;2.0;5.200484415313302E-5;6.97;0.0;0.0;5.8309006879523556E-5;5.8309006879523556E-5
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;3.0;0.007175259278390404;8.675;0.0;0.0;0.0029636337434195254;0.0029636337434195254
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;3.0;0.001946261126081966;10.93;0.0;0.0;0.0018357313309590952;0.0018357313309590952
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;4.0;0.022601680984825213;12.205;0.0;0.0;0.0018273910626393911;0.0018273910626393911
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;4.0;0.020372703660657385;12.185;3.0;9.946290033817386E-5;0.0023653413114719736;0.002333671518575779
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;5.0;0.06443245707273129;31.685;1.0;3.315430011272462E-5;0.006334806403929863;0.0063252605443908415
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;5.0;0.06422186447278522;28.755;0.0;0.0;0.003186620283107755;0.003186620283107755
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;6.0;0.1478700950695853;73.025;1.0;3.315430011272462E-5;0.0024629241334135775;0.0024557373369651536
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;6.0;0.10013796203702792;85.9;0.0;0.0;0.004045192470705949;0.004045192470705949
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;7.0;0.17380903676691628;198.25;0.0;0.0;0.004091736352466425;0.004091736352466425
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;7.0;0.11898739366565424;242.97;0.0;0.0;0.005122639873504628;0.005122639873504628
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;1.0;0.0;3.565;0.0;0.0;0.0;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;1.0;0.0;3.485;0.0;0.0;0.0;0.0
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;2.0;7.665578716158665E-4;4.745;22.0;7.293946024799417E-4;3.2434385076730594E-4;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;2.0;7.665578716158665E-4;4.755;22.0;7.293946024799417E-4;3.2434385076730594E-4;0.0
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;3.0;0.014551260874977923;5.99;425.0;0.014090577547907964;0.005278972605463881;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;3.0;0.014551260874977923;5.77;425.0;0.014090577547907964;0.005278972605463881;0.0
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;4.0;0.030329804637335547;7.215;470.0;0.015582521052980572;0.00500244859732758;2.9218331334547365E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;4.0;0.030329804637335547;6.96;470.0;0.015582521052980572;0.00500244859732758;2.9218331334547365E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;5.0;0.09391152965002662;22.785;1385.0;0.0459187056561236;0.013554382332731495;5.733108258451924E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;5.0;0.09391152965002662;19.795;1385.0;0.0459187056561236;0.013554382332731495;5.733108258451924E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;6.0;0.16362913655109496;60.79;1120.0;0.03713281612625158;0.008018158848586619;3.9952605237829975E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;6.0;0.14249100722528504;65.71;2160.0;0.07161328824348517;0.018603439048660703;7.652156213171215E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;7.0;0.19562985815864736;174.2;1504.0;0.04986406736953783;0.00985906172461204;4.51826774696227E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;7.0;0.1740435552422219;187.8;2761.0;0.09153902261123267;0.02299759766371351;8.993718659613482E-27
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;1.0;0.0;3.6;0.0;0.0;0.0;0.0
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;1.0;0.0;3.8;0.0;0.0;0.0;0.0
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;2.0;5.200484415313307E-5;7.3;0.0;0.0;5.8309006879523556E-5;5.8309006879523556E-5
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;2.0;5.200484415313307E-5;7.6;0.0;0.0;5.8309006879523556E-5;5.8309006879523556E-5
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;3.0;0.007175259278390389;9.1;0.0;0.0;0.0029636337434195254;0.0029636337434195254
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;3.0;0.0019462611260819599;11.3;0.0;0.0;0.0018357313309590952;0.0018357313309590952
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;4.0;0.02260168098482519;12.9;0.0;0.0;0.0018273910626393911;0.0018273910626393911
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;4.0;0.020372703660657413;13.2;3.0;9.946290033817386E-5;0.0023653413114719736;0.002333671518575779
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;5.0;0.06443245707273122;32.1;1.0;3.315430011272462E-5;0.006334806403929863;0.0063252605443908415
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;5.0;0.0642218644727854;29.7;0.0;0.0;0.003186620283107755;0.003186620283107755
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;6.0;0.14787009506958534;74.1;1.0;3.315430011272462E-5;0.0024629241334135775;0.0024557373369651536
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;6.0;0.10013796203702777;86.3;0.0;0.0;0.004045192470705949;0.004045192470705949
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;7.0;0.17380903676691686;198.2;0.0;0.0;0.004091736352466425;0.004091736352466425
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;7.0;0.11898739366565395;243.9;0.0;0.0;0.005122639873504628;0.005122639873504628
