;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Variance
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.0;5.0;30162.0;9.0;0.6863968470754812;113.2;0.0
Adult;Loss;5-anonymity;RGR;0.01;5.0;30162.0;9.0;0.4204501629265149;1175.8;4.543160035050145E-4
Adult;Loss;5-anonymity;RGR;0.02;5.0;30162.0;9.0;0.37102078565921204;1390.4;0.003353187596109112
Adult;Loss;5-anonymity;RGR;0.03;5.0;30162.0;9.0;0.31986702907543035;1480.2;0.004018030695308188
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;9.0;0.2739245195979827;1625.2;0.0067944458274304875
Adult;Loss;5-anonymity;RGR;0.07;5.0;30162.0;9.0;0.2542619863091511;1909.2;0.00557284925985079
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;9.0;0.21340347468849327;2228.4;0.00825795131434258
Adult;Loss;5-anonymity;RGR;0.15;5.0;30162.0;9.0;0.21310775428150958;2672.2;0.008233109528193342
Adult;Loss;5-anonymity;RGR;0.2;5.0;30162.0;9.0;0.21310775428150958;3337.8;0.008233109528193342
Adult;Loss;5-anonymity;RGR;0.25;5.0;30162.0;9.0;0.21310775428150958;3972.8;0.008233109528193342
Adult;Loss;5-anonymity;RGR;0.3;5.0;30162.0;9.0;0.21310775428150958;4527.2;0.008233109528193342
Adult;Loss;5-anonymity;RGR;0.35;5.0;30162.0;9.0;0.21310775428150958;4986.4;0.008233109528193342
Adult;Loss;5-anonymity;RGR;0.4;5.0;30162.0;9.0;0.21310775428150958;5248.2;0.008233109528193342
Adult;Loss;5-anonymity;RGR;0.45;5.0;30162.0;9.0;0.21310775428150958;5608.2;0.008233109528193342
Adult;Loss;5-anonymity;RGR;0.5;5.0;30162.0;9.0;0.21310775428150958;5952.8;0.008233109528193342
Adult;Loss;5-anonymity;RGR;0.55;5.0;30162.0;9.0;0.21310775428150958;6055.4;0.008233109528193342
Adult;Loss;5-anonymity;RGR;0.6;5.0;30162.0;9.0;0.21310775428150958;6356.8;0.008233109528193342
Adult;Loss;5-anonymity;RGR;0.65;5.0;30162.0;9.0;0.21310775428150958;6472.0;0.008233109528193342
Adult;Loss;5-anonymity;RGR;0.7;5.0;30162.0;9.0;0.21310775428150958;6566.6;0.008233109528193342
Adult;Loss;5-anonymity;RGR;0.75;5.0;30162.0;9.0;0.21310775428150958;6665.2;0.008233109528193342
Adult;Loss;5-anonymity;RGR;0.8;5.0;30162.0;9.0;0.21310775428150958;6676.8;0.008233109528193342
Adult;Loss;5-anonymity;RGR;0.85;5.0;30162.0;9.0;0.21310775428150958;6770.6;0.008233109528193342
Adult;Loss;5-anonymity;RGR;0.9;5.0;30162.0;9.0;0.21310775428150958;6852.6;0.008233109528193342
Adult;Loss;5-anonymity;RGR;0.95;5.0;30162.0;9.0;0.21310775428150958;7047.8;0.008233109528193342
Adult;Loss;5-anonymity;RGR;1.0;5.0;30162.0;9.0;0.21310775428150958;7697.0;0.008233109528193342
Adult;Loss;5-anonymity;Flash;0.0;5.0;30162.0;9.0;0.6863968470754812;80.0;0.0
Adult;Loss;5-anonymity;Flash;0.01;5.0;30162.0;9.0;0.42340169831611335;1063.4;0.003135525204518215
Adult;Loss;5-anonymity;Flash;0.02;5.0;30162.0;9.0;0.37619606632154173;1295.6;0.007359515699668114
Adult;Loss;5-anonymity;Flash;0.03;5.0;30162.0;9.0;0.3295679166210244;1374.8;0.011639244719615097
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;9.0;0.2925002644589774;1429.4;0.022718919398229228
Adult;Loss;5-anonymity;Flash;0.07;5.0;30162.0;9.0;0.2794254676819148;1737.6;0.02508640344823452
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;9.0;0.25510998050475003;1939.0;0.04285250744201811
Adult;Loss;5-anonymity;Flash;0.15;5.0;30162.0;9.0;0.25510998050475003;2332.8;0.04285250744201811
Adult;Loss;5-anonymity;Flash;0.2;5.0;30162.0;9.0;0.25510998050475003;2948.6;0.04285250744201811
Adult;Loss;5-anonymity;Flash;0.25;5.0;30162.0;9.0;0.25510998050475003;3472.2;0.04285250744201811
Adult;Loss;5-anonymity;Flash;0.3;5.0;30162.0;9.0;0.25510998050475003;3882.8;0.04285250744201811
Adult;Loss;5-anonymity;Flash;0.35;5.0;30162.0;9.0;0.25510998050475003;4282.0;0.04285250744201811
Adult;Loss;5-anonymity;Flash;0.4;5.0;30162.0;9.0;0.25510998050475003;4521.2;0.04285250744201811
Adult;Loss;5-anonymity;Flash;0.45;5.0;30162.0;9.0;0.25510998050475003;4797.8;0.04285250744201811
Adult;Loss;5-anonymity;Flash;0.5;5.0;30162.0;9.0;0.25510998050475003;4997.8;0.04285250744201811
Adult;Loss;5-anonymity;Flash;0.55;5.0;30162.0;9.0;0.25510998050475003;5099.4;0.04285250744201811
Adult;Loss;5-anonymity;Flash;0.6;5.0;30162.0;9.0;0.25510998050475003;5238.4;0.04285250744201811
Adult;Loss;5-anonymity;Flash;0.65;5.0;30162.0;9.0;0.25510998050475003;5300.4;0.04285250744201811
Adult;Loss;5-anonymity;Flash;0.7;5.0;30162.0;9.0;0.25510998050475003;5291.0;0.04285250744201811
Adult;Loss;5-anonymity;Flash;0.75;5.0;30162.0;9.0;0.25510998050475003;5274.6;0.04285250744201811
Adult;Loss;5-anonymity;Flash;0.8;5.0;30162.0;9.0;0.25510998050475003;5294.0;0.04285250744201811
