;;;;;Utility;Runtime
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;0.2739245195979827;2570.0
Adult;Loss;5-anonymity;RGR;0.1;0.21340347468849327;2409.0
Adult;Discernibility;5-anonymity;RGR;0.05;0.004463606249102837;2119.0
Adult;Discernibility;5-anonymity;RGR;0.1;0.004330719377021313;2870.0
Adult;Loss;10-anonymity;RGR;0.05;0.3279955017685254;1514.0
Adult;Loss;10-anonymity;RGR;0.1;0.2671190498438023;2018.0
Adult;Discernibility;10-anonymity;RGR;0.05;0.007452891368586833;1280.0
Adult;Discernibility;10-anonymity;RGR;0.1;0.007452891368586833;2247.0
Adult;Loss;25-anonymity;RGR;0.05;0.425274928528981;1164.0
Adult;Loss;25-anonymity;RGR;0.1;0.34366627698962005;1666.0
Adult;Discernibility;25-anonymity;RGR;0.05;0.012749591603016653;913.0
Adult;Discernibility;25-anonymity;RGR;0.1;0.012749591603016653;1572.0
Adult;Loss;50-anonymity;RGR;0.05;0.49533445441259755;873.0
Adult;Loss;50-anonymity;RGR;0.1;0.4133312323086077;1417.0
Adult;Discernibility;50-anonymity;RGR;0.05;0.022337966804824614;582.0
Adult;Discernibility;50-anonymity;RGR;0.1;0.022337966804824614;1124.0
Adult;Loss;5-anonymity;Flash;0.05;0.2925002644589774;1446.0
Adult;Loss;5-anonymity;Flash;0.1;0.25510998050475003;2001.0
Adult;Discernibility;5-anonymity;Flash;0.05;0.0078110509403538685;1750.0
Adult;Discernibility;5-anonymity;Flash;0.1;0.0078110509403538685;2692.0
Adult;Loss;10-anonymity;Flash;0.05;0.34562306001411075;1385.0
Adult;Loss;10-anonymity;Flash;0.1;0.30304863488816813;1787.0
Adult;Discernibility;10-anonymity;Flash;0.05;0.011462217736407453;1266.0
Adult;Discernibility;10-anonymity;Flash;0.1;0.011462217736407453;2238.0
Adult;Loss;25-anonymity;Flash;0.05;0.4381663882476645;1081.0
