;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;0.0;0.01;5;30162;9;0.2147930095;1599.0;0.0;0.0;3.431778E-4;3.431778E-4;6.0
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.01;5;30162;9;0.1614344652;2023.0;0.0;0.0;2.994967E-4;2.994967E-4;9.0
Adult;Loss;10-anonymity;RGR;0.05;0.0;0.01;10;30162;9;0.2631487579;1604.0;0.0;0.0;1.285116E-4;1.285116E-4;6.0
Adult;Loss;10-anonymity;RGR;0.1;0.0;0.01;10;30162;9;0.2040663963;2452.0;0.0;0.0;5.939666E-4;5.939666E-4;11.0
Adult;Loss;25-anonymity;RGR;0.05;0.0;0.01;25;30162;9;0.3390590323;1235.0;0.0;0.0;3.361908E-4;3.361908E-4;5.0
Adult;Loss;25-anonymity;RGR;0.1;0.0;0.01;25;30162;9;0.2709491048;2084.0;0.0;0.0;5.057337E-4;5.057337E-4;9.0
Adult;Loss;50-anonymity;RGR;0.05;0.0;0.01;50;30162;9;0.3894451284;975.0;83.0;0.0027518069;5.350277E-4;3.660435E-4;7.0
Adult;Loss;50-anonymity;RGR;0.1;0.0;0.01;50;30162;9;0.3277230112;1897.0;24.0;7.957032E-4;6.287965E-4;5.787052E-4;10.0
Cup;Loss;5-anonymity;RGR;0.05;0.0;0.01;5;63441;8;0.1119581565;8919.0;0.0;0.0;1.824054E-4;1.824054E-4;5.0
Cup;Loss;5-anonymity;RGR;0.1;0.0;0.01;5;63441;8;0.1009557391;10336.0;0.0;0.0;2.213374E-4;2.213374E-4;8.0
Cup;Loss;10-anonymity;RGR;0.05;0.0;0.01;10;63441;8;0.1505795781;9870.0;0.0;0.0;5.20147E-5;5.20147E-5;6.0
Cup;Loss;10-anonymity;RGR;0.1;0.0;0.01;10;63441;8;0.1165315774;10636.0;0.0;0.0;3.62446E-4;3.62446E-4;8.0
Cup;Loss;25-anonymity;RGR;0.05;0.0;0.01;25;63441;8;0.1874637981;9343.0;0.0;0.0;2.984921E-4;2.984921E-4;6.0
Cup;Loss;25-anonymity;RGR;0.1;0.0;0.01;25;63441;8;0.1675953748;9866.0;0.0;0.0;9.50746E-5;9.50746E-5;7.0
Cup;Loss;50-anonymity;RGR;0.05;0.0;0.01;50;63441;8;0.2432179155;7168.0;0.0;0.0;3.58678E-5;3.58678E-5;4.0
Cup;Loss;50-anonymity;RGR;0.1;0.0;0.01;50;63441;8;0.1971358341;11759.0;0.0;0.0;6.620606E-4;6.620606E-4;9.0
Fars;Loss;5-anonymity;RGR;0.05;0.0;0.01;5;100937;8;0.1193167958;4532.0;0.0;0.0;1.163437E-4;1.163437E-4;6.0
Fars;Loss;5-anonymity;RGR;0.1;0.0;0.01;5;100937;8;0.0947315274;5423.0;0.0;0.0;2.502438E-4;2.502438E-4;9.0
Fars;Loss;10-anonymity;RGR;0.05;0.0;0.01;10;100937;8;0.1540958638;5363.0;0.0;0.0;1.70305E-4;1.70305E-4;6.0
Fars;Loss;10-anonymity;RGR;0.1;0.0;0.01;10;100937;8;0.1238043469;5867.0;36.0;3.566581E-4;1.395131E-4;1.296334E-4;10.0
Fars;Loss;25-anonymity;RGR;0.05;0.0;0.01;25;100937;8;0.196035776;5467.0;0.0;0.0;9.069E-5;9.069E-5;6.0
Fars;Loss;25-anonymity;RGR;0.1;0.0;0.01;25;100937;8;0.1529624758;7169.0;0.0;0.0;1.41137E-4;1.41137E-4;10.0
Fars;Loss;50-anonymity;RGR;0.05;0.0;0.01;50;100937;8;0.2519266674;4766.0;180.0;0.0017832906;1.780394E-4;1.327581E-4;7.0
Fars;Loss;50-anonymity;RGR;0.1;0.0;0.01;50;100937;8;0.2010972103;6248.0;0.0;0.0;1.671574E-4;1.671574E-4;8.0
Atus;Loss;5-anonymity;RGR;0.05;0.0;0.01;5;539253;9;0.0521745053;17083.0;0.0;0.0;0.0013072355;0.0013072355;6.0
Atus;Loss;5-anonymity;RGR;0.1;0.0;0.01;5;539253;9;0.0257249917;18059.0;0.0;0.0;0.0014952533;0.0014952533;10.0
Atus;Loss;10-anonymity;RGR;0.05;0.0;0.01;10;539253;9;0.0813603119;23149.0;0.0;0.0;7.636706E-4;7.636706E-4;6.0
