;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;30162;9;0.2186907481;1301.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;30162;9;0.1713235718;1302.0;2.0;6.63086E-5;8.024676E-4;7.978648E-4;5.0
Cup;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;63441;8;0.1153231017;8266.0;5.0;7.88134E-5;1.32508E-5;1.2171E-5;4.0
Cup;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;63441;8;0.1058127616;8475.0;3.0;4.7288E-5;1.745713E-4;1.73962E-4;5.0
Fars;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;100937;8;0.1235613487;4014.0;10.0;9.90717E-5;6.52867E-5;6.25167E-5;7.0
Fars;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;100937;8;0.0994296895;3882.0;0.0;0.0;2.368023E-4;2.368023E-4;8.0
Atus;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;539253;9;0.0581505981;13153.0;0.0;0.0;0.0012178962;0.0012178962;10.0
Atus;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;539253;9;0.0367084821;14548.0;0.0;0.0;0.002024534;0.002024534;13.0
Ihis;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;1193504;9;0.0992592388;60881.0;1.0;8.379E-7;2.88185E-5;2.87475E-5;5.0
Ihis;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;1193504;9;0.0573919245;58302.0;0.0;0.0;1.115731E-4;1.115731E-4;5.0
Adult;Loss;10-anonymity;RGR;0.05;0.0;0.05;10;30162;9;0.2704078676;1295.0;0.0;0.0;3.236835E-4;3.236835E-4;3.0
Adult;Loss;10-anonymity;RGR;0.1;0.0;0.05;10;30162;9;0.2125316729;1311.0;0.0;0.0;4.498509E-4;4.498509E-4;4.0
Cup;Loss;10-anonymity;RGR;0.05;0.0;0.05;10;63441;8;0.1564827842;8806.0;4.0;6.30507E-5;1.48241E-5;1.44413E-5;4.0
Cup;Loss;10-anonymity;RGR;0.1;0.0;0.05;10;63441;8;0.1242986108;8596.0;3.0;4.7288E-5;7.08177E-5;7.01777E-5;5.0
Fars;Loss;10-anonymity;RGR;0.05;0.0;0.05;10;100937;8;0.1596125072;4685.0;5.0;4.95358E-5;1.625556E-4;1.612932E-4;5.0
Fars;Loss;10-anonymity;RGR;0.1;0.0;0.05;10;100937;8;0.1303205545;4331.0;5.0;4.95358E-5;2.183436E-4;2.169957E-4;9.0
Atus;Loss;10-anonymity;RGR;0.05;0.0;0.05;10;539253;9;0.085589569;15791.0;1.0;1.8544E-6;2.587288E-4;2.586197E-4;6.0
Atus;Loss;10-anonymity;RGR;0.1;0.0;0.05;10;539253;9;0.061219458;17266.0;0.0;0.0;0.0012260927;0.0012260927;8.0
Ihis;Loss;10-anonymity;RGR;0.05;0.0;0.05;10;1193504;9;0.1205142773;71174.0;0.0;0.0;7.05971E-5;7.05971E-5;4.0
Ihis;Loss;10-anonymity;RGR;0.1;0.0;0.05;10;1193504;9;0.1069302681;70211.0;0.0;0.0;7.076569E-4;7.076569E-4;5.0
Adult;Loss;25-anonymity;RGR;0.05;0.0;0.05;25;30162;9;0.3415160613;1069.0;0.0;0.0;2.432896E-4;2.432896E-4;3.0
Adult;Loss;25-anonymity;RGR;0.1;0.0;0.05;25;30162;9;0.2822142191;1304.0;0.0;0.0;5.157255E-4;5.157255E-4;3.0
Cup;Loss;25-anonymity;RGR;0.05;0.0;0.05;25;63441;8;0.1928814836;8065.0;4.0;6.30507E-5;1.313115E-4;1.304865E-4;4.0
Cup;Loss;25-anonymity;RGR;0.1;0.0;0.05;25;63441;8;0.1706340692;8149.0;23.0;3.625416E-4;3.2547E-5;3.03714E-5;4.0
Fars;Loss;25-anonymity;RGR;0.05;0.0;0.05;25;100937;8;0.2015359602;4686.0;9.0;8.91645E-5;1.606624E-4;1.584022E-4;4.0
Fars;Loss;25-anonymity;RGR;0.1;0.0;0.05;25;100937;8;0.1626237931;4719.0;9.0;8.91645E-5;1.197424E-4;1.174337E-4;7.0
Atus;Loss;25-anonymity;RGR;0.05;0.0;0.05;25;539253;9;0.14064661;19641.0;24.0;4.4506E-5;9.761273E-4;9.744332E-4;6.0
Atus;Loss;25-anonymity;RGR;0.1;0.0;0.05;25;539253;9;0.0837209299;18473.0;32.0;5.93413E-5;0.0014019585;0.0013986755;9.0
Ihis;Loss;25-anonymity;RGR;0.05;0.0;0.05;25;1193504;9;0.1556319551;74011.0;0.0;0.0;3.381116E-4;3.381116E-4;4.0
Ihis;Loss;25-anonymity;RGR;0.1;0.0;0.05;25;1193504;9;0.127413992;76295.0;0.0;0.0;7.12785E-5;7.12785E-5;5.0
Adult;Loss;50-anonymity;RGR;0.05;0.0;0.05;50;30162;9;0.3930568292;814.0;14.0;4.641602E-4;2.527086E-4;2.241517E-4;3.0
Adult;Loss;50-anonymity;RGR;0.1;0.0;0.05;50;30162;9;0.3395298689;1140.0;0.0;0.0;8.279812E-4;8.279812E-4;3.0
Cup;Loss;50-anonymity;RGR;0.05;0.0;0.05;50;63441;8;0.2411003266;6782.0;4.0;6.30507E-5;1.00983E-5;9.7167E-6;4.0
Cup;Loss;50-anonymity;RGR;0.1;0.0;0.05;50;63441;8;0.2061386171;8674.0;26.0;4.098296E-4;2.836668E-4;2.785872E-4;4.0
Fars;Loss;50-anonymity;RGR;0.05;0.0;0.05;50;100937;8;0.2579503151;4202.0;8.0;7.92574E-5;3.714588E-4;3.694915E-4;6.0
Fars;Loss;50-anonymity;RGR;0.1;0.0;0.05;50;100937;8;0.208403758;4777.0;59.0;5.84523E-4;2.672937E-4;2.528037E-4;4.0
Atus;Loss;50-anonymity;RGR;0.05;0.0;0.05;50;539253;9;0.1976524872;22691.0;41.0;7.60311E-5;5.398439E-4;5.375741E-4;5.0
Atus;Loss;50-anonymity;RGR;0.1;0.0;0.05;50;539253;9;0.1185326794;19807.0;44.0;8.15944E-5;0.0014195727;0.0014151443;8.0
Ihis;Loss;50-anonymity;RGR;0.05;0.0;0.05;50;1193504;9;0.1867630669;79965.0;0.0;0.0;1.71007E-5;1.71007E-5;3.0
Ihis;Loss;50-anonymity;RGR;0.1;0.0;0.05;50;1193504;9;0.1437035029;81663.0;49.0;4.10556E-5;1.26162E-4;1.225686E-4;5.0
Adult;Loss;5-anonymity;Flash;0.05;0.5;0.0;5;30162;9;0.2429155711;1235.0;1383.0;0.0458523971;0.0031201437;0.0;2.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;30162;9;0.2212867446;1677.0;2584.0;0.0856707115;0.0056308049;0.0;2.0
Cup;Loss;5-anonymity;Flash;0.05;0.5;0.0;5;63441;8;0.139689361;7648.0;2578.0;0.0406361816;5.359524E-4;0.0;2.0
Cup;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;63441;8;0.139689361;8204.0;2578.0;0.0406361816;5.359524E-4;0.0;2.0
Fars;Loss;5-anonymity;Flash;0.05;0.5;0.0;5;100937;8;0.1539898767;4219.0;4597.0;0.0455432597;0.001228271;1.0408E-6;4.0
Fars;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;100937;8;0.1528537804;4380.0;6438.0;0.0637823593;0.0016937787;1.0134E-6;4.0
Atus;Loss;5-anonymity;Flash;0.05;0.5;0.0;5;539253;9;0.0869412567;11449.0;24177.0;0.0448342429;0.0037389537;0.0010511741;8.0
Atus;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;539253;9;0.0869412567;12368.0;24177.0;0.0448342429;0.0037389537;0.0010511741;8.0
Ihis;Loss;5-anonymity;Flash;0.05;0.5;0.0;5;1193504;9;0.1322433958;66971.0;56015.0;0.0469332319;0.0037968819;0.0;2.0
Ihis;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;1193504;9;0.1288360138;81141.0;84659.0;0.0709331515;0.0058136342;0.0;2.0
Adult;Loss;10-anonymity;Flash;0.05;0.5;0.0;10;30162;9;0.2929052156;1191.0;1501.0;0.0497646045;0.0030507873;0.0;2.0
Adult;Loss;10-anonymity;Flash;0.1;0.5;0.0;10;30162;9;0.2661672989;1528.0;2656.0;0.0880578211;0.0052263068;0.0;2.0
Cup;Loss;10-anonymity;Flash;0.05;0.5;0.0;10;63441;8;0.180421208;8059.0;2007.0;0.031635693;1.867084E-4;0.0;2.0
Cup;Loss;10-anonymity;Flash;0.1;0.5;0.0;10;63441;8;0.1759391395;8898.0;5127.0;0.0808152457;0.0010212359;0.0;2.0
Fars;Loss;10-anonymity;Flash;0.05;0.5;0.0;10;100937;8;0.1882839059;4546.0;4929.0;0.04883244;0.0012120711;0.0;2.0
