;;;;;;;;;;Utility;Runtime;SuppressionLimit;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;30162;9;0.2186907481;1299.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.025;0.05;5;30162;9;0.2186907481;1289.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.05;0.05;5;30162;9;0.2186907481;1288.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.075;0.05;5;30162;9;0.2186907481;1310.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.1;0.05;5;30162;9;0.2186907481;1272.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.125;0.05;5;30162;9;0.2186907481;1316.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.15;0.05;5;30162;9;0.2186907481;1315.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.175;0.05;5;30162;9;0.2186907481;1296.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.2;0.05;5;30162;9;0.2186907481;1289.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.225;0.05;5;30162;9;0.2186907481;1271.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.25;0.05;5;30162;9;0.2186907481;1311.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.275;0.05;5;30162;9;0.2186907481;1315.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.3;0.05;5;30162;9;0.2186907481;1325.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.325;0.05;5;30162;9;0.2186907481;1320.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.35;0.05;5;30162;9;0.2186907481;1294.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.375;0.05;5;30162;9;0.2186907481;1301.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.4;0.05;5;30162;9;0.2186907481;1333.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.425;0.05;5;30162;9;0.2186907481;1361.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.45;0.05;5;30162;9;0.2186907481;1351.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.475;0.05;5;30162;9;0.2186907481;1309.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.5;0.05;5;30162;9;0.2186907481;1318.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;30162;9;0.1713235718;1302.0;2.0;6.63086E-5;8.024676E-4;7.978648E-4;5.0
Adult;Loss;5-anonymity;RGR;0.1;0.025;0.05;5;30162;9;0.1713235718;1352.0;2.0;6.63086E-5;8.024676E-4;7.978648E-4;5.0
Adult;Loss;5-anonymity;RGR;0.1;0.05;0.05;5;30162;9;0.1713235718;1357.0;2.0;6.63086E-5;8.024676E-4;7.978648E-4;5.0
Adult;Loss;5-anonymity;RGR;0.1;0.075;0.05;5;30162;9;0.1713235718;1215.0;2.0;6.63086E-5;8.024676E-4;7.978648E-4;5.0
Adult;Loss;5-anonymity;RGR;0.1;0.1;0.05;5;30162;9;0.1713235718;1284.0;2.0;6.63086E-5;8.024676E-4;7.978648E-4;5.0
Adult;Loss;5-anonymity;RGR;0.1;0.125;0.05;5;30162;9;0.1713824531;1363.0;10.0;3.31543E-4;8.13792E-4;7.90777E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.15;0.05;5;30162;9;0.1713824531;1389.0;10.0;3.31543E-4;8.13792E-4;7.90777E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.175;0.05;5;30162;9;0.1713824531;1409.0;10.0;3.31543E-4;8.13792E-4;7.90777E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.2;0.05;5;30162;9;0.1713824531;1498.0;10.0;3.31543E-4;8.13792E-4;7.90777E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.225;0.05;5;30162;9;0.1713824531;1532.0;10.0;3.31543E-4;8.13792E-4;7.90777E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.25;0.05;5;30162;9;0.1713824531;1592.0;10.0;3.31543E-4;8.13792E-4;7.90777E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.275;0.05;5;30162;9;0.1713824531;1489.0;10.0;3.31543E-4;8.13792E-4;7.90777E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.3;0.05;5;30162;9;0.1713824531;1548.0;10.0;3.31543E-4;8.13792E-4;7.90777E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.325;0.05;5;30162;9;0.1713824531;1594.0;10.0;3.31543E-4;8.13792E-4;7.90777E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.35;0.05;5;30162;9;0.1713824531;1605.0;10.0;3.31543E-4;8.13792E-4;7.90777E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.375;0.05;5;30162;9;0.1713824531;1717.0;10.0;3.31543E-4;8.13792E-4;7.90777E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.4;0.05;5;30162;9;0.1708374157;1716.0;0.0;0.0;3.02299E-4;3.02299E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.425;0.05;5;30162;9;0.1708374157;1826.0;0.0;0.0;3.02299E-4;3.02299E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.45;0.05;5;30162;9;0.1708374157;1867.0;0.0;0.0;3.02299E-4;3.02299E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.475;0.05;5;30162;9;0.1708374157;1858.0;0.0;0.0;3.02299E-4;3.02299E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.5;0.05;5;30162;9;0.1708374157;1889.0;0.0;0.0;3.02299E-4;3.02299E-4;4.0
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;30162;9;0.0540518271;9804.0;4.0;1.326172E-4;9.272266E-4;9.168787E-4;96.0
Adult;Loss;5-anonymity;RGR;0.95;0.025;0.05;5;30162;9;0.0553283498;16975.0;1.0;3.31543E-5;9.195048E-4;9.169169E-4;91.0
Adult;Loss;5-anonymity;RGR;0.95;0.05;0.05;5;30162;9;0.058181549;25619.0;2.0;6.63086E-5;9.064579E-4;9.012874E-4;82.0
Adult;Loss;5-anonymity;RGR;0.95;0.075;0.05;5;30162;9;0.0671193046;28848.0;3.0;9.94629E-5;9.918149E-4;9.840928E-4;76.0
Adult;Loss;5-anonymity;RGR;0.95;0.1;0.05;5;30162;9;0.0750508661;16127.0;3.0;9.94629E-5;0.0011636123;0.0011559505;64.0
Adult;Loss;5-anonymity;RGR;0.95;0.125;0.05;5;30162;9;0.087838167;10192.0;4.0;1.326172E-4;0.0010010476;9.910574E-4;42.0
Adult;Loss;5-anonymity;RGR;0.95;0.15;0.05;5;30162;9;0.089516463;7913.0;0.0;0.0;9.6533E-4;9.6533E-4;23.0
Adult;Loss;5-anonymity;RGR;0.95;0.175;0.05;5;30162;9;0.1077469807;6313.0;4.0;1.326172E-4;8.77664E-4;8.677193E-4;20.0
Adult;Loss;5-anonymity;RGR;0.95;0.2;0.05;5;30162;9;0.1087003905;6070.0;4.0;1.326172E-4;8.696171E-4;8.59674E-4;11.0
Adult;Loss;5-anonymity;RGR;0.95;0.225;0.05;5;30162;9;0.1087020489;6462.0;3.0;9.94629E-5;8.668415E-4;8.593838E-4;11.0
Adult;Loss;5-anonymity;RGR;0.95;0.25;0.05;5;30162;9;0.122010735;6060.0;0.0;0.0;6.353758E-4;6.353758E-4;5.0
Adult;Loss;5-anonymity;RGR;0.95;0.275;0.05;5;30162;9;0.122010735;6456.0;0.0;0.0;6.353758E-4;6.353758E-4;5.0
Adult;Loss;5-anonymity;RGR;0.95;0.3;0.05;5;30162;9;0.122010735;6685.0;0.0;0.0;6.353758E-4;6.353758E-4;5.0
Adult;Loss;5-anonymity;RGR;0.95;0.325;0.05;5;30162;9;0.122010735;6933.0;0.0;0.0;6.353758E-4;6.353758E-4;5.0
Adult;Loss;5-anonymity;RGR;0.95;0.35;0.05;5;30162;9;0.122010735;7193.0;0.0;0.0;6.353758E-4;6.353758E-4;5.0
