;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;1000;9;0.3895710353;116.0;0.0;0.0;0.0049944877;0.0049944877
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;1000;9;0.1819232766;2103.0;5.0;0.005;0.0301437499;0.0292146923
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;2000;9;0.3334530662;181.0;0.0;0.0;0.0041922573;0.0041922573
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;2000;9;0.1451387203;2812.0;0.0;0.0;0.0289538956;0.0289538956
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;3000;9;0.3280090393;245.0;2.0;6.666667E-4;0.0090902351;0.0089988427
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;3000;9;0.1309436766;3360.0;0.0;0.0;0.029061189;0.029061189
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;4000;9;0.2871394302;282.0;3.0;7.5E-4;0.0058163183;0.0057292495
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;4000;9;0.1174151188;3803.0;6.0;0.0015;0.0268009803;0.0264584911
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;5000;9;0.2828219746;345.0;2.0;4.0E-4;0.0052946481;0.0052476184
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;5000;9;0.1086509371;4072.0;3.0;6.0E-4;0.0263101149;0.0261685785
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;6000;9;0.2671212781;405.0;3.0;5.0E-4;0.0045111167;0.0044510594
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;6000;9;0.1005943461;4407.0;3.0;5.0E-4;0.0246160479;0.0244937509
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;7000;9;0.2600802043;423.0;0.0;0.0;0.0039929276;0.0039929276
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;7000;9;0.0952038399;4945.0;1.0;1.428571E-4;0.0253798062;0.0253443828
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;8000;9;0.2348765201;450.0;0.0;0.0;0.0061323891;0.0061323891
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;8000;9;0.0894443125;5235.0;1.0;1.25E-4;0.024088602;0.024056845
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;9000;9;0.2328343077;516.0;0.0;0.0;0.0057083143;0.0057083143
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;9000;9;0.0868898884;5691.0;4.0;4.444444E-4;0.02435185;0.0242380645
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;10000;9;0.2306039963;544.0;2.0;2.0E-4;0.0051533847;0.0051227979
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;10000;9;0.0844623388;5856.0;5.0;5.0E-4;0.023893175;0.0237631786
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;11000;9;0.222710891;643.0;2.0;1.818182E-4;0.0035413757;0.0035171631
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;11000;9;0.0802813902;5982.0;5.0;4.545455E-4;0.0230755873;0.0229552846
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;12000;9;0.2208066687;684.0;0.0;0.0;0.0041855205;0.0041855205
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;12000;9;0.0779339739;6172.0;3.0;2.5E-4;0.0235113775;0.0234448317
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;13000;9;0.2131723156;655.0;1.0;7.69231E-5;0.0037836204;0.0037702178
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;13000;9;0.0747238215;6638.0;3.0;2.307692E-4;0.0226282456;0.0225659257
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;14000;9;0.2157763501;753.0;0.0;0.0;0.0061525081;0.0061525081
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;14000;9;0.0737259214;6973.0;4.0;2.857143E-4;0.0228165122;0.0227389525
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;15000;9;0.2152342615;727.0;8.0;5.333333E-4;0.0061719939;0.0060809458
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;15000;9;0.0723876954;6883.0;1.0;6.66667E-5;0.0226829107;0.0226647202
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;16000;9;0.2147641883;779.0;11.0;6.875E-4;0.0059167844;0.0057988454
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;16000;9;0.0696728083;7154.0;4.0;2.5E-4;0.0224353206;0.0223665007
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;17000;9;0.2098704725;845.0;0.0;0.0;0.0040412235;0.0040412235
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;17000;9;0.0681629429;7787.0;5.0;2.941176E-4;0.0221027526;0.0220209375
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;18000;9;0.2011239747;846.0;0.0;0.0;0.005063248;0.005063248
