;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;30162;9;0.0540518271;9851.0;4.0;1.326172E-4;9.272266E-4;9.168787E-4;96.0
Cup;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;63441;8;0.0694123793;57230.0;2.0;3.15254E-5;2.175416E-4;2.171361E-4;83.0
Fars;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;100937;8;0.037539333;23209.0;4.0;3.96287E-5;2.371843E-4;2.359522E-4;111.0
Atus;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;539253;9;0.0123430025;80690.0;3.0;5.5633E-6;0.001315849;0.0013154958;308.0
Ihis;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;1193504;9;0.0219000321;305074.0;0.0;0.0;3.056432E-4;3.056432E-4;136.0
Adult;Loss;10-anonymity;RGR;0.95;0.0;0.05;10;30162;9;0.0773942893;10888.0;4.0;1.326172E-4;0.0013359451;0.0013258718;82.0
Cup;Loss;10-anonymity;RGR;0.95;0.0;0.05;10;63441;8;0.086225417;71964.0;9.0;1.418641E-4;4.336192E-4;4.319295E-4;71.0
Fars;Loss;10-anonymity;RGR;0.95;0.0;0.05;10;100937;8;0.049733292;29044.0;1.0;9.9072E-6;3.475053E-4;3.47204E-4;103.0
Atus;Loss;10-anonymity;RGR;0.95;0.0;0.05;10;539253;9;0.0184015669;111834.0;2.0;3.7088E-6;0.0014764515;0.001476219;275.0
Ihis;Loss;10-anonymity;RGR;0.95;0.0;0.05;10;1193504;9;0.0327582979;435651.0;0.0;0.0;4.231342E-4;4.231342E-4;127.0
Adult;Loss;25-anonymity;RGR;0.95;0.0;0.05;25;30162;9;0.1150082405;13771.0;23.0;7.625489E-4;0.0019121156;0.0018563902;73.0
Cup;Loss;25-anonymity;RGR;0.95;0.0;0.05;25;63441;8;0.1134463409;70898.0;11.0;1.733894E-4;8.03855E-4;8.021326E-4;57.0
Fars;Loss;25-anonymity;RGR;0.95;0.0;0.05;25;100937;8;0.0688643034;34263.0;0.0;0.0;4.849811E-4;4.849811E-4;82.0
Atus;Loss;25-anonymity;RGR;0.95;0.0;0.05;25;539253;9;0.0292565054;168671.0;8.0;1.48353E-5;0.0018974016;0.0018965017;242.0
Ihis;Loss;25-anonymity;RGR;0.95;0.0;0.05;25;1193504;9;0.0501288491;659496.0;0.0;0.0;7.004958E-4;7.004958E-4;113.0
Adult;Loss;50-anonymity;RGR;0.95;0.0;0.05;50;30162;9;0.1472947595;16188.0;15.0;4.973145E-4;0.0023913759;0.0023562498;68.0
Cup;Loss;50-anonymity;RGR;0.95;0.0;0.05;50;63441;8;0.1400900816;69999.0;27.0;4.255923E-4;0.0010743514;0.0010709864;43.0
Fars;Loss;50-anonymity;RGR;0.95;0.0;0.05;50;100937;8;0.0855995886;39902.0;3.0;2.97215E-5;6.857185E-4;6.848664E-4;75.0
Atus;Loss;50-anonymity;RGR;0.95;0.0;0.05;50;539253;9;0.0399370204;231001.0;9.0;1.66898E-5;0.0023054879;0.0023045052;223.0
Ihis;Loss;50-anonymity;RGR;0.95;0.0;0.05;50;1193504;9;0.0667962203;812951.0;18.0;1.50816E-5;9.904536E-4;9.891823E-4;104.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;30162;9;0.2212867446;4623.0;2584.0;0.0856707115;0.0056308049;0.0;2.0
Cup;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;63441;8;0.139689361;23671.0;2578.0;0.0406361816;5.359524E-4;0.0;2.0
Fars;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;100937;8;0.1528537804;15407.0;6438.0;0.0637823593;0.0016937787;1.0134E-6;4.0
Atus;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;539253;9;0.0869412567;14353.0;24177.0;0.0448342429;0.0037389537;0.0010511741;8.0
Ihis;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;1193504;9;0.1288360138;215801.0;84659.0;0.0709331515;0.0058136342;0.0;2.0
Adult;Loss;10-anonymity;Flash;0.95;0.5;0.0;10;30162;9;0.2621056283;5452.0;4008.0;0.1328824349;0.0082828737;0.0;2.0
Cup;Loss;10-anonymity;Flash;0.95;0.5;0.0;10;63441;8;0.1759391395;23685.0;5127.0;0.0808152457;0.0010212359;0.0;2.0
Fars;Loss;10-anonymity;Flash;0.95;0.5;0.0;10;100937;8;0.1824133903;19395.0;5520.0;0.0546875774;0.00145852;9.047E-7;4.0
Atus;Loss;10-anonymity;Flash;0.95;0.5;0.0;10;539253;9;0.1099487364;22943.0;34554.0;0.0640775295;0.0043410738;6.20377E-4;6.0
Ihis;Loss;10-anonymity;Flash;0.95;0.5;0.0;10;1193504;9;0.150705442;260900.0;32911.0;0.0275751066;0.0023630025;0.0;2.0
Adult;Loss;25-anonymity;Flash;0.95;0.5;0.0;25;30162;9;0.315670248;6094.0;4027.0;0.1335123666;0.0082505109;0.0;2.0
Cup;Loss;25-anonymity;Flash;0.95;0.5;0.0;25;63441;8;0.2062545545;18408.0;3917.0;0.0617424063;3.530639E-4;0.0;2.0
Fars;Loss;25-anonymity;Flash;0.95;0.5;0.0;25;100937;8;0.2157558739;22657.0;6456.0;0.0639606884;0.0016680304;4.587E-7;3.0
Atus;Loss;25-anonymity;Flash;0.95;0.5;0.0;25;539253;9;0.1432237768;39335.0;47655.0;0.0883722483;0.00487134;5.38718E-5;4.0
Ihis;Loss;25-anonymity;Flash;0.95;0.5;0.0;25;1193504;9;0.1772733048;304368.0;67784.0;0.0567941121;0.0047206384;0.0;2.0
Adult;Loss;50-anonymity;Flash;0.95;0.5;0.0;50;30162;9;0.3590735855;5598.0;5124.0;0.1698826338;0.0091260212;0.0;2.0
Cup;Loss;50-anonymity;Flash;0.95;0.5;0.0;50;63441;8;0.2540126599;17114.0;3904.0;0.0615374915;2.04646E-4;0.0;2.0
Fars;Loss;50-anonymity;Flash;0.95;0.5;0.0;50;100937;8;0.2472326239;23826.0;7214.0;0.0714703231;0.0017215979;0.0;2.0
Atus;Loss;50-anonymity;Flash;0.95;0.5;0.0;50;539253;9;0.1738489432;53912.0;60132.0;0.1115098108;0.0059753122;5.29119E-5;3.0
Ihis;Loss;50-anonymity;Flash;0.95;0.5;0.0;50;1193504;9;0.2086046538;338027.0;82832.0;0.0694023648;0.0056869284;0.0;2.0
