;;;;;Time;Generalization degree;Generalization degree 1;Generalization degree 2;Generalization degree 3;Generalization degree 4;Generalization degree 5;Generalization degree 6;Generalization degree 7;Generalization degree 8;Generalization degree 9
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Discernibility;5-anonymity;RGR;0.02;1502.0;0.7222222222222222;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
Adult;Discernibility;5-anonymity;RGR;0.02;1549.0;0.8333333333333334;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
Adult;Discernibility;5-anonymity;RGR;0.05;2277.0;0.7222222222222222;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
Adult;Discernibility;5-anonymity;RGR;0.05;2293.0;0.824074074074074;0.0;0.75;1.0;1.0;0.6666666666666666;1.0;1.0;1.0;1.0
Adult;Discernibility;5-anonymity;RGR;0.1;4012.0;0.7222222222222222;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
Adult;Discernibility;5-anonymity;RGR;0.1;4028.0;0.8055555555555556;0.0;0.75;1.0;1.0;1.0;1.0;1.0;0.5;1.0
Adult;Discernibility;5-anonymity;RGR;0.1;4075.0;0.8333333333333334;1.0;1.0;0.0;1.0;1.0;1.0;0.5;1.0;1.0
Adult;Discernibility;5-anonymity;RGR;1.0;8765.0;0.7222222222222222;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
Adult;Discernibility;5-anonymity;RGR;1.0;8875.0;0.8055555555555556;0.0;0.75;1.0;1.0;1.0;1.0;1.0;0.5;1.0
Adult;Discernibility;5-anonymity;RGR;1.0;8906.0;0.7222222222222222;1.0;1.0;0.0;1.0;1.0;0.0;0.5;1.0;1.0
Adult;Loss;5-anonymity;RGR;0.02;1581.0;0.4907407407407407;0.0;0.75;0.0;1.0;0.6666666666666666;0.5;0.5;1.0;0.0
Adult;Loss;5-anonymity;RGR;0.02;1627.0;0.6666666666666666;0.0;1.0;1.0;1.0;1.0;1.0;0.5;0.5;0.0
Adult;Loss;5-anonymity;RGR;0.02;1674.0;0.7777777777777778;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
Adult;Loss;5-anonymity;RGR;0.05;1654.0;0.3796296296296296;0.0;0.75;0.0;0.0;0.6666666666666666;0.5;0.5;1.0;0.0
Adult;Loss;5-anonymity;RGR;0.05;1748.0;0.574074074074074;0.0;1.0;0.0;1.0;0.6666666666666666;1.0;0.5;1.0;0.0
Adult;Loss;5-anonymity;RGR;0.05;1779.0;0.7777777777777778;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;0.0
Adult;Loss;5-anonymity;RGR;0.1;2484.0;0.32407407407407407;0.0;0.75;0.0;0.0;0.6666666666666666;0.5;0.5;0.5;0.0
Adult;Loss;5-anonymity;RGR;0.1;2694.0;0.5277777777777778;0.0;0.75;0.0;0.5;1.0;1.0;0.5;1.0;0.0
Adult;Loss;5-anonymity;RGR;0.1;2740.0;0.6851851851851851;0.0;1.0;1.0;0.5;0.6666666666666666;1.0;1.0;1.0;0.0
Adult;Loss;5-anonymity;RGR;0.1;2772.0;0.8703703703703703;1.0;1.0;1.0;1.0;0.3333333333333333;0.5;1.0;1.0;1.0
Adult;Loss;5-anonymity;RGR;1.0;6566.0;0.32407407407407407;0.0;0.75;0.0;0.0;0.6666666666666666;0.5;0.5;0.5;0.0
Adult;Loss;5-anonymity;RGR;1.0;8644.0;0.5277777777777778;0.0;0.75;0.0;0.5;1.0;1.0;0.5;1.0;0.0
Adult;Loss;5-anonymity;RGR;1.0;8862.0;0.6296296296296295;0.0;1.0;1.0;0.5;0.6666666666666666;0.5;1.0;1.0;0.0
Adult;Loss;5-anonymity;RGR;1.0;8956.0;0.7777777777777778;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
Cup;Discernibility;5-anonymity;RGR;0.02;2875.0;0.75;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;-0.1
Cup;Discernibility;5-anonymity;RGR;0.02;2969.0;0.65625;1.0;0.5;1.0;0.5;1.0;0.25;0.75;0.25;-0.1
Cup;Discernibility;5-anonymity;RGR;0.05;6125.0;0.75;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;-0.1
Cup;Discernibility;5-anonymity;RGR;0.05;6203.0;0.65625;1.0;0.5;1.0;0.5;1.0;0.25;0.75;0.25;-0.1
Cup;Discernibility;5-anonymity;RGR;0.1;11278.0;0.75;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;-0.1
Cup;Discernibility;5-anonymity;RGR;0.1;11372.0;0.65625;1.0;0.5;1.0;0.5;1.0;0.25;0.75;0.25;-0.1
Cup;Discernibility;5-anonymity;RGR;1.0;209648.0;0.75;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;-0.1
Cup;Discernibility;5-anonymity;RGR;1.0;210007.0;0.65625;1.0;0.5;1.0;0.5;1.0;0.25;0.75;0.25;-0.1
Cup;Loss;5-anonymity;RGR;0.02;12568.0;0.38125;0.8;0.75;0.0;0.5;0.0;0.25;0.5;0.25;-0.1
Cup;Loss;5-anonymity;RGR;0.02;12911.0;0.6625;0.8;1.0;0.0;0.5;1.0;0.75;0.75;0.5;-0.1
Cup;Loss;5-anonymity;RGR;0.02;13193.0;0.9375;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;-0.1
Cup;Loss;5-anonymity;RGR;0.05;11344.0;0.31875;0.8;0.75;0.0;0.0;0.0;0.25;0.5;0.25;-0.1
Cup;Loss;5-anonymity;RGR;0.05;11869.0;0.53125;1.0;0.75;0.0;0.0;1.0;0.5;0.75;0.25;-0.1
Cup;Loss;5-anonymity;RGR;0.05;12166.0;0.78125;1.0;1.0;1.0;0.5;1.0;0.75;0.75;0.25;-0.1
