;;;;;Run;Utility
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value
AdultSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;0.0;0.0016511588466941959
AdultSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;1.0;0.001694491730568006
AdultSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;2.0;0.0017501425915836101
AdultSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;3.0;0.00173606490342156
AdultSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;4.0;0.0016878928142420452
AdultSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;0.0016502789911840678
AdultSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;6.0;0.001666116390366374
AdultSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;7.0;0.0016746949815901232
AdultSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;8.0;0.0016914122362825577
AdultSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;9.0;0.0016700757401619506
AdultSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;0.0;0.1610467156125621
AdultSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;1.0;0.15841502793612453
AdultSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;2.0;0.1574828319129509
AdultSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;3.0;0.16094382102571664
AdultSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;4.0;0.158563134499257
AdultSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;0.1604868619686707
AdultSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;6.0;0.15811811647818177
AdultSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;7.0;0.15780091111070335
AdultSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;8.0;0.1603033439393578
AdultSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;9.0;0.15789659444629994
CupSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;0.0;8.962973948901382E-4
CupSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;1.0;8.926691635525176E-4
CupSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;2.0;8.926691635525176E-4
CupSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;3.0;8.958003768986833E-4
CupSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;4.0;8.861582278644588E-4
CupSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;8.908301969841346E-4
CupSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;6.0;8.810389425524737E-4
CupSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;7.0;9.033550503687972E-4
CupSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;8.0;8.773113076165622E-4
CupSubset;Discernibility;5-anonymity;Tassa & Goldberger;0.0;9.0;8.902337753943887E-4
CupSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;0.0;0.1394317361855233
CupSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;1.0;0.1399821376252165
CupSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;2.0;0.13826199938640152
CupSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;3.0;0.13856033203508689
CupSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;4.0;0.13722993012523158
CupSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;0.13918147194845537
CupSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;6.0;0.13917786512574717
CupSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;7.0;0.13943688306458546
CupSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;8.0;0.13890437053227295
CupSubset;Loss;5-anonymity;Tassa & Goldberger;0.0;9.0;0.1378964212079884
