;;;;;Time;Utility;Suppressed;Step;Generalization degree 1;Generalization degree 2;Generalization degree 3;Generalization degree 4;Generalization degree 5;Generalization degree 6;Generalization degree 7;Generalization degree 8;Generalization degree 9
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.02;2539.0;0.37619606632154173;554.0;0.0;0.018367482262449438;0.7545918705656124;0.018367482262449438;1.0;0.6727891607541497;0.5091837411312247;0.5091837411312247;1.0;0.018367482262449438
Adult;Loss;5-anonymity;RGR;0.02;2664.0;0.37106883830245607;11.0;1.0;3.6469730123997083E-4;0.7545918705656124;0.018367482262449438;1.0;0.6727891607541497;0.5091837411312247;0.50018234865062;0.9909986075193953;3.6469730123997083E-4
Adult;Loss;5-anonymity;RGR;0.02;2727.0;0.37102078565921204;0.0;2.0;0.0;0.7545918705656124;0.018367482262449438;1.0;0.6727891607541497;0.5091837411312247;0.50018234865062;0.9909986075193953;0.0
Adult;Loss;5-anonymity;RGR;0.05;1628.0;0.2925002644589774;1383.0;0.0;0.04585239705589815;0.7614630992639745;0.04585239705589815;0.04585239705589815;0.6819507990186328;0.5229261985279491;0.5229261985279491;1.0;0.04585239705589815
Adult;Loss;5-anonymity;RGR;0.05;1737.0;0.2744436326249609;66.0;1.0;0.002188183807439825;0.7614630992639745;0.002188183807439825;0.04585239705589815;0.6673960612691466;0.5229261985279491;0.5010940919037199;1.0;0.002188183807439825
Adult;Loss;5-anonymity;RGR;0.05;1784.0;0.2739245195979827;3.0;2.0;0.002188183807439825;0.7614630992639745;0.002188183807439825;0.04480803660234733;0.6673960612691466;0.5218818380743983;0.5010940919037199;1.0;9.946290033817386E-5
Adult;Loss;5-anonymity;RGR;0.1;2079.0;0.25510998050475003;2584.0;0.0;0.08567071149128042;0.7714176778728201;0.08567071149128042;0.08567071149128042;0.6952235704970934;0.5428353557456402;0.5428353557456402;0.5428353557456402;0.08567071149128042
Adult;Loss;5-anonymity;RGR;0.1;2329.0;0.21484651742769745;160.0;1.0;0.005304688018035939;0.751326172004509;0.005304688018035939;0.045487699754658176;0.6952235704970934;0.5428353557456402;0.5026523440090179;0.5428353557456402;0.005304688018035939
Adult;Loss;5-anonymity;RGR;0.1;2375.0;0.2134357586174513;5.0;2.0;1.657715005636231E-4;0.751326172004509;0.005304688018035939;0.04291824149592202;0.6935105983246026;0.5428353557456402;0.5026523440090179;0.5428353557456402;1.657715005636231E-4
Adult;Loss;5-anonymity;RGR;0.1;2422.0;0.21340347468849327;0.0;3.0;1.657715005636231E-4;0.751326172004509;0.005304688018035939;0.04291824149592202;0.6934000839908936;0.5427524699953584;0.5026523440090179;0.5428353557456402;1.657715005636231E-4
Adult;Loss;5-anonymity;RGR;1.0;5896.0;0.25510998050475003;2584.0;0.0;0.08567071149128042;0.7714176778728201;0.08567071149128042;0.08567071149128042;0.6952235704970934;0.5428353557456402;0.5428353557456402;0.5428353557456402;0.08567071149128042
Adult;Loss;5-anonymity;RGR;1.0;8224.0;0.21484651742769745;160.0;1.0;0.005304688018035939;0.751326172004509;0.005304688018035939;0.045487699754658176;0.6952235704970934;0.5428353557456402;0.5026523440090179;0.5428353557456402;0.005304688018035939
Adult;Loss;5-anonymity;RGR;1.0;8677.0;0.21319134106285448;24.0;2.0;7.957032027053909E-4;0.751326172004509;0.005304688018035939;0.0432332073469929;0.69372057555865;0.540580863337975;0.5026523440090179;0.5428353557456402;7.957032027053909E-4
Adult;Loss;5-anonymity;RGR;1.0;8865.0;0.2131077542815096;3.0;3.0;9.946290033817386E-5;0.751326172004509;0.005304688018035939;0.0432332073469929;0.69372057555865;0.540580863337975;0.5026523440090179;0.5428353557456402;9.946290033817386E-5
Adult;Discernibility;5-anonymity;RGR;0.02;1094.0;0.0078110509403538685;105.0;0.0;0.003481201511836085;0.003481201511836085;1.0;1.0;1.0;1.0;1.0;0.5017406007559181;1.0
Adult;Discernibility;5-anonymity;RGR;0.02;1125.0;0.004331537291222646;0.0;1.0;0.0;0.003481201511836085;1.0;1.0;1.0;1.0;1.0;0.5000000000000001;1.0
Adult;Discernibility;5-anonymity;RGR;0.05;1860.0;0.0078110509403538685;105.0;0.0;0.003481201511836085;0.003481201511836085;1.0;1.0;1.0;1.0;1.0;0.5017406007559181;1.0
Adult;Discernibility;5-anonymity;RGR;0.05;1875.0;0.004463606249102837;4.0;1.0;1.3261720045089847E-4;0.0026440554339897883;1.0;1.0;0.9988838052295382;1.0;1.0;0.5017406007559181;1.0
Adult;Discernibility;5-anonymity;RGR;0.1;2719.0;0.0078110509403538685;105.0;0.0;0.003481201511836085;0.003481201511836085;1.0;1.0;1.0;1.0;1.0;0.5017406007559181;1.0
Adult;Discernibility;5-anonymity;RGR;0.1;2735.0;0.004529630833919529;6.0;1.0;1.9892580067634773E-4;0.002660632584046151;1.0;1.0;1.0;1.0;1.0;0.5000994629003382;1.0
Adult;Discernibility;5-anonymity;RGR;0.1;2750.0;0.004330719377021313;0.0;2.0;1.9892580067634773E-4;0.002660632584046151;0.9998010741993236;1.0;1.0;1.0;0.9999005370996619;0.5000994629003382;1.0
Adult;Discernibility;5-anonymity;RGR;1.0;5889.0;0.0078110509403538685;105.0;0.0;0.003481201511836085;0.003481201511836085;1.0;1.0;1.0;1.0;1.0;0.5017406007559181;1.0
Adult;Discernibility;5-anonymity;RGR;1.0;6014.0;0.004529630833919529;6.0;1.0;1.9892580067634773E-4;0.002660632584046151;1.0;1.0;1.0;1.0;1.0;0.5000994629003382;1.0
Adult;Discernibility;5-anonymity;RGR;1.0;6092.0;0.004363865789769125;1.0;2.0;1.9892580067634773E-4;0.002660632584046151;0.9998342284994364;1.0;1.0;0.9998342284994364;0.9999171142497182;0.5000994629003382;1.0
Cup;Loss;5-anonymity;RGR;0.02;9147.0;0.17051754405658903;1260.0;0.0;0.8039721946375373;0.7549652432969215;0.019860973187686197;0.5099304865938431;0.019860973187686197;0.26489572989076465;0.5099304865938431;0.26489572989076465;-0.1
Cup;Loss;5-anonymity;RGR;0.02;9544.0;0.16098602462897188;16.0;1.0;0.8000504405668258;0.7549652432969215;2.5220283412934853E-4;0.5001261014170647;0.019860973187686197;0.25999353730237545;0.5050282940054539;0.2550913447139862;-0.1
Cup;Loss;5-anonymity;RGR;0.02;9825.0;0.16097370773531794;0.0;2.0;0.8000504405668258;0.7549652432969215;2.5220283412934853E-4;0.5000000000000001;0.019860973187686197;0.25999353730237545;0.5050282940054539;0.2550913447139862;-0.1
Cup;Loss;5-anonymity;RGR;0.05;8361.0;0.14729676771402941;2578.0;0.0;0.8081272363298183;0.7601590454122729;0.04063618164909128;0.04063618164909128;0.04063618164909128;0.28047713623681847;0.5203180908245456;0.28047713623681847;-0.1
Cup;Loss;5-anonymity;RGR;0.05;8882.0;0.12459349426393432;114.0;1.0;0.8081272363298183;0.7504492362982929;0.0017969451931716084;0.0017969451931716084;0.04063618164909128;0.2610575180088586;0.5106082817105657;0.25134770889487873;-0.1
Cup;Loss;5-anonymity;RGR;0.05;9158.0;0.1241035526615249;5.0;2.0;0.8081272363298183;0.7504492362982929;0.0017969451931716084;9.378792894185148E-4;0.04063618164909128;0.2606279850569821;0.5101787487586892;0.2500591100392491;-0.1
Cup;Loss;5-anonymity;RGR;0.05;9423.0;0.1241035526615249;5.0;3.0;0.8081272363298183;0.7504492362982929;0.0017969451931716084;9.378792894185148E-4;0.04063618164909128;0.2606279850569821;0.5101787487586892;0.2500591100392491;-0.1
Cup;Loss;5-anonymity;RGR;0.1;9111.0;0.14729676771402941;2578.0;0.0;0.8081272363298183;0.7601590454122729;0.04063618164909128;0.04063618164909128;0.04063618164909128;0.28047713623681847;0.5203180908245456;0.28047713623681847;-0.1
Cup;Loss;5-anonymity;RGR;0.1;9689.0;0.12425014018273874;166.0;1.0;0.8081272363298183;0.750654151101023;0.002616604404091991;0.002616604404091991;0.04063618164909128;0.26146734761431883;0.501308302202046;0.251962453303069;-0.1
Cup;Loss;5-anonymity;RGR;0.1;10017.0;0.12336898080412395;16.0;2.0;0.8081272363298183;0.750654151101023;2.5220283412934853E-4;0.002616604404091991;0.04063618164909128;0.2602851468293375;0.5007172018095554;0.250189152125597;-0.1
Cup;Loss;5-anonymity;RGR;0.1;10299.0;0.1233346195032465;1.0;3.0;0.8081272363298183;0.750654151101023;2.5220283412934853E-4;0.002616604404091991;0.04063618164909128;0.26022603679008843;0.5005989817310572;0.250189152125597;-0.1
Cup;Loss;5-anonymity;RGR;1.0;57917.0;0.14729676771402941;2578.0;0.0;0.8081272363298183;0.7601590454122729;0.04063618164909128;0.04063618164909128;0.04063618164909128;0.28047713623681847;0.5203180908245456;0.28047713623681847;-0.1
Cup;Loss;5-anonymity;RGR;1.0;66123.0;0.12425014018273874;166.0;1.0;0.8081272363298183;0.750654151101023;0.002616604404091991;0.002616604404091991;0.04063618164909128;0.26146734761431883;0.501308302202046;0.251962453303069;-0.1
