;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;30162.0;9.0;0.06891334991223955;218796.0;0.0;0.0;0.0211963332496054;0.0211963332496054
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;30162.0;9.0;0.06958578256810094;244019.0;0.0;0.0;0.021452588201376674;0.021452588201376674
Cup;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;63441.0;8.0;0.0791575438765017;1804526.0;0.0;0.0;0.009272605712621455;0.009272605712621455
Cup;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;63441.0;8.0;0.07901426496698039;1768761.0;0.0;0.0;0.009184687128398258;0.009184687128398258
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;30162.0;9.0;1.2470992876228952E-4;240799.0;0.0;0.0;0.0215504439200931;0.0215504439200931
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;30162.0;9.0;1.2841912569144998E-4;240054.0;0.0;0.0;0.021361181968495443;0.021361181968495443
Cup;Discernibility;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;63441.0;8.0;1.0791520347578758E-4;1576019.0;0.0;0.0;0.009237424875126132;0.009237424875126132
Cup;Discernibility;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;63441.0;8.0;1.0691140121195309E-4;1769614.0;0.0;0.0;0.009212684695227184;0.009212684695227184
Adult;Loss;10-anonymity;Tassa & Goldberger;0.0;0.5;10.0;30162.0;9.0;0.10860887492884719;107898.0;0.0;0.0;0.027382027673025486;0.027382027673025486
Adult;Loss;10-anonymity;Tassa & Goldberger;0.0;0.5;10.0;30162.0;9.0;0.10862089450794839;107682.0;0.0;0.0;0.027364312620671936;0.027364312620671936
Cup;Loss;10-anonymity;Tassa & Goldberger;0.0;0.5;10.0;63441.0;8.0;0.10253472184130734;700834.0;0.0;0.0;0.010004701536784746;0.010004701536784746
Cup;Loss;10-anonymity;Tassa & Goldberger;0.0;0.5;10.0;63441.0;8.0;0.10235862275687267;583225.0;0.0;0.0;0.010100382966668627;0.010100382966668627
Adult;Discernibility;10-anonymity;Tassa & Goldberger;0.0;0.5;10.0;30162.0;9.0;4.246096038900668E-4;108285.0;0.0;0.0;0.027131056663057793;0.027131056663057793
