;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;1.0;0.0;0.01;5;30162;9;0.058002091;4791.0;0.0;0.0;0.0010124951;0.0010124951;34.0
Adult;Loss;5-anonymity;RGR;1.0;0.025;0.01;5;30162;9;0.0591615232;10105.0;0.0;0.0;0.0010069359;0.0010069359;31.0
Adult;Loss;5-anonymity;RGR;1.0;0.05;0.01;5;30162;9;0.0619399752;16583.0;0.0;0.0;0.001044628;0.001044628;26.0
Adult;Loss;5-anonymity;RGR;1.0;0.075;0.01;5;30162;9;0.0713320743;11814.0;0.0;0.0;0.0011392302;0.0011392302;16.0
Adult;Loss;5-anonymity;RGR;1.0;0.1;0.01;5;30162;9;0.0779544767;5859.0;0.0;0.0;0.0011710435;0.0011710435;8.0
Adult;Loss;5-anonymity;RGR;1.0;0.125;0.01;5;30162;9;0.0901436185;5215.0;0.0;0.0;0.0010155999;0.0010155999;6.0
Adult;Loss;5-anonymity;RGR;1.0;0.15;0.01;5;30162;9;0.0912178251;5938.0;0.0;0.0;0.0010074809;0.0010074809;5.0
Adult;Loss;5-anonymity;RGR;1.0;0.175;0.01;5;30162;9;0.108813884;5166.0;0.0;0.0;9.466356E-4;9.466356E-4;5.0
Adult;Loss;5-anonymity;RGR;1.0;0.2;0.01;5;30162;9;0.1098954665;5504.0;0.0;0.0;9.385415E-4;9.385415E-4;4.0
Adult;Loss;5-anonymity;RGR;1.0;0.225;0.01;5;30162;9;0.1098954665;5833.0;0.0;0.0;9.385415E-4;9.385415E-4;4.0
Adult;Loss;5-anonymity;RGR;1.0;0.25;0.01;5;30162;9;0.1223939073;5511.0;0.0;0.0;6.681294E-4;6.681294E-4;4.0
Adult;Loss;5-anonymity;RGR;1.0;0.275;0.01;5;30162;9;0.1223939073;5933.0;0.0;0.0;6.681294E-4;6.681294E-4;4.0
Adult;Loss;5-anonymity;RGR;1.0;0.3;0.01;5;30162;9;0.1223939073;6101.0;0.0;0.0;6.681294E-4;6.681294E-4;4.0
Adult;Loss;5-anonymity;RGR;1.0;0.325;0.01;5;30162;9;0.1223939073;6318.0;0.0;0.0;6.681294E-4;6.681294E-4;4.0
Adult;Loss;5-anonymity;RGR;1.0;0.35;0.01;5;30162;9;0.1223939073;6610.0;0.0;0.0;6.681294E-4;6.681294E-4;4.0
Adult;Loss;5-anonymity;RGR;1.0;0.375;0.01;5;30162;9;0.1285815769;6552.0;0.0;0.0;7.612629E-4;7.612629E-4;4.0
Adult;Loss;5-anonymity;RGR;1.0;0.4;0.01;5;30162;9;0.1462325127;6330.0;0.0;0.0;6.229857E-4;6.229857E-4;4.0
Adult;Loss;5-anonymity;RGR;1.0;0.425;0.01;5;30162;9;0.1709724564;5707.0;0.0;0.0;8.29152E-4;8.29152E-4;3.0
Adult;Loss;5-anonymity;RGR;1.0;0.45;0.01;5;30162;9;0.1709724564;5833.0;0.0;0.0;8.29152E-4;8.29152E-4;3.0
Adult;Loss;5-anonymity;RGR;1.0;0.475;0.01;5;30162;9;0.1711242832;5911.0;0.0;0.0;3.186742E-4;3.186742E-4;3.0
Adult;Loss;5-anonymity;RGR;1.0;0.5;0.01;5;30162;9;0.1711242832;5853.0;0.0;0.0;3.186742E-4;3.186742E-4;3.0
Adult;Loss;10-anonymity;RGR;1.0;0.0;0.01;10;30162;9;0.0809916191;7421.0;0.0;0.0;0.0014591441;0.0014591441;40.0
Adult;Loss;10-anonymity;RGR;1.0;0.025;0.01;10;30162;9;0.0805219128;13090.0;0.0;0.0;0.0012469938;0.0012469938;34.0
Adult;Loss;10-anonymity;RGR;1.0;0.05;0.01;10;30162;9;0.0858926317;22891.0;0.0;0.0;0.0012864693;0.0012864693;30.0
Adult;Loss;10-anonymity;RGR;1.0;0.075;0.01;10;30162;9;0.0917960826;18006.0;0.0;0.0;0.0014280867;0.0014280867;20.0
Adult;Loss;10-anonymity;RGR;1.0;0.1;0.01;10;30162;9;0.1008793743;13757.0;0.0;0.0;0.001130132;0.001130132;14.0
Adult;Loss;10-anonymity;RGR;1.0;0.125;0.01;10;30162;9;0.1076666075;9210.0;0.0;0.0;0.0011698147;0.0011698147;8.0
Adult;Loss;10-anonymity;RGR;1.0;0.15;0.01;10;30162;9;0.1257343325;6185.0;0.0;0.0;8.746939E-4;8.746939E-4;6.0
Adult;Loss;10-anonymity;RGR;1.0;0.175;0.01;10;30162;9;0.1317970474;6494.0;0.0;0.0;6.539257E-4;6.539257E-4;5.0
Adult;Loss;10-anonymity;RGR;1.0;0.2;0.01;10;30162;9;0.1342145863;6928.0;0.0;0.0;0.0011326084;0.0011326084;5.0
Adult;Loss;10-anonymity;RGR;1.0;0.225;0.01;10;30162;9;0.1395848703;6778.0;0.0;0.0;9.901587E-4;9.901587E-4;4.0
Adult;Loss;10-anonymity;RGR;1.0;0.25;0.01;10;30162;9;0.1395848703;7092.0;0.0;0.0;9.901587E-4;9.901587E-4;4.0
Adult;Loss;10-anonymity;RGR;1.0;0.275;0.01;10;30162;9;0.1596697262;6580.0;0.0;0.0;0.0012293049;0.0012293049;4.0
Adult;Loss;10-anonymity;RGR;1.0;0.3;0.01;10;30162;9;0.1596697262;6763.0;0.0;0.0;0.0012293049;0.0012293049;4.0
Adult;Loss;10-anonymity;RGR;1.0;0.325;0.01;10;30162;9;0.1622243281;6906.0;0.0;0.0;5.478744E-4;5.478744E-4;4.0
Adult;Loss;10-anonymity;RGR;1.0;0.35;0.01;10;30162;9;0.1622243281;7054.0;0.0;0.0;5.478744E-4;5.478744E-4;4.0
Adult;Loss;10-anonymity;RGR;1.0;0.375;0.01;10;30162;9;0.1622243281;7228.0;0.0;0.0;5.478744E-4;5.478744E-4;4.0
Adult;Loss;10-anonymity;RGR;1.0;0.4;0.01;10;30162;9;0.1622243281;7362.0;0.0;0.0;5.478744E-4;5.478744E-4;4.0
Adult;Loss;10-anonymity;RGR;1.0;0.425;0.01;10;30162;9;0.1863289183;6899.0;0.0;0.0;4.978306E-4;4.978306E-4;3.0
Adult;Loss;10-anonymity;RGR;1.0;0.45;0.01;10;30162;9;0.1863289183;7041.0;0.0;0.0;4.978306E-4;4.978306E-4;3.0
Adult;Loss;10-anonymity;RGR;1.0;0.475;0.01;10;30162;9;0.1863289183;7152.0;0.0;0.0;4.978306E-4;4.978306E-4;3.0
Adult;Loss;10-anonymity;RGR;1.0;0.5;0.01;10;30162;9;0.1863289183;7107.0;0.0;0.0;4.978306E-4;4.978306E-4;3.0
Adult;Loss;25-anonymity;RGR;1.0;0.0;0.01;25;30162;9;0.1155899176;11794.0;0.0;0.0;0.0018393431;0.0018393431;47.0
Adult;Loss;25-anonymity;RGR;1.0;0.025;0.01;25;30162;9;0.1159586821;21524.0;14.0;4.641602E-4;0.0017628633;0.0017287362;46.0
