;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Adult;NMEntropy;5-anonymity;RGR;1.0;0.0;0.001;5;30162;9;0.2315648839;27949.0;1.0;3.31543E-5;0.0119811204;0.0119797489;328.0
Adult;NMEntropy;5-anonymity;RGR;1.0;0.0;0.01;5;30162;9;0.2494579675;5594.0;0.0;0.0;0.0111792415;0.0111792415;58.0
Adult;NMEntropy;5-anonymity;RGR;1.0;0.0;0.02;5;30162;9;0.2561354567;3388.0;0.0;0.0;0.0108623623;0.0108623623;33.0
Adult;NMEntropy;5-anonymity;RGR;1.0;0.0;0.05;5;30162;9;0.2720067734;1868.0;0.0;0.0;0.0084065781;0.0084065781;15.0
Adult;NMEntropy;5-anonymity;RGR;1.0;0.0;0.1;5;30162;9;0.2886531778;1358.0;0.0;0.0;0.0095279958;0.0095279958;9.0
Adult;NMEntropy;5-anonymity;RGR;1.0;0.0;0.25;5;30162;9;0.3656599649;573.0;0.0;0.0;0.0152418262;0.0152418262;4.0
Adult;NMEntropy;5-anonymity;RGR;1.0;0.0;0.33;5;30162;9;0.4127896167;355.0;0.0;0.0;0.0152185066;0.0152185066;3.0
Adult;NMEntropy;5-anonymity;RGR;1.0;0.0;0.5;5;30162;9;0.4936206349;197.0;0.0;0.0;0.0173671933;0.0173671933;2.0
Cup;NMEntropy;5-anonymity;RGR;1.0;0.0;0.001;5;63441;8;0.5316284071;945797.0;2.0;3.15254E-5;0.0024972936;0.0024972923;442.0
Cup;NMEntropy;5-anonymity;RGR;1.0;0.0;0.01;5;63441;8;0.5435564891;154408.0;0.0;0.0;0.0023502836;0.0023502836;81.0
Cup;NMEntropy;5-anonymity;RGR;1.0;0.0;0.02;5;63441;8;0.5497064618;78028.0;0.0;0.0;0.0022579673;0.0022579673;43.0
Cup;NMEntropy;5-anonymity;RGR;1.0;0.0;0.05;5;63441;8;0.5575609569;28428.0;0.0;0.0;0.0023132485;0.0023132485;18.0
