;;;;;Time;Utility;Suppressed;SuppressedRatio;Step;GeneralizationDegree1;GeneralizationDegree2;GeneralizationDegree3;GeneralizationDegree4;GeneralizationDegree5;GeneralizationDegree6;GeneralizationDegree7;GeneralizationDegree8;GeneralizationDegree9;GeneralizationVariance1;GeneralizationVariance2;GeneralizationVariance3;GeneralizationVariance4;GeneralizationVariance5;GeneralizationVariance6;GeneralizationVariance7;GeneralizationVariance8;GeneralizationVariance9
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;2399.0;0.2925002644589774;1383.0;0.04585239705589815;0.0;0.04585239705589815;0.7614630992639745;0.04585239705589815;0.04585239705589815;0.6819507990186328;0.5229261985279491;0.5229261985279491;1.0;0.04585239705589815;0.04374995474012641;0.0027343721712579008;0.04374995474012641;0.04374995474012641;0.0048611060822362695;0.010937488685031603;0.010937488685031603;0.0;0.04374995474012641
Adult;Loss;5-anonymity;RGR;0.05;2582.0;0.2744436326249609;66.0;0.002188183807439825;1.0;0.002188183807439825;0.7614630992639745;0.002188183807439825;0.04585239705589815;0.6673960612691466;0.5229261985279491;0.5010940919037199;1.0;0.002188183807439825;0.004184867354691849;0.002734372171257901;0.004184867354691849;0.04374995474012641;4.6498526163243E-4;0.010937488685031603;0.0010462168386729622;0.0;0.004184867354691849
Adult;Loss;5-anonymity;RGR;0.05;2624.0;0.2739245195979827;3.0;9.946290033817386E-5;2.0;0.002188183807439825;0.7614630992639745;0.002188183807439825;0.04480803660234733;0.6673960612691466;0.5218818380743983;0.5010940919037199;1.0;9.946290033817386E-5;0.004184867354691849;0.0027343721712579008;0.004184867354691849;0.04228136886593007;4.6498526163243E-4;0.010463196365877937;0.0010462168386729622;0.0;0.002105692502902067
Adult;Loss;5-anonymity;RGR;0.1;2130.0;0.25510998050475003;2584.0;0.08567071149128042;0.0;0.08567071149128042;0.7714176778728201;0.08567071149128042;0.08567071149128042;0.6952235704970934;0.5428353557456402;0.5428353557456402;0.5428353557456402;0.08567071149128042;0.07833124068385822;0.0048957025427411385;0.07833124068385822;0.07833124068385822;0.008703471187095357;0.019582810170964554;0.019582810170964554;0.019582810170964554;0.07833124068385822
Adult;Loss;5-anonymity;RGR;0.1;2383.0;0.21484651742769745;160.0;0.005304688018035939;1.0;0.005304688018035939;0.751326172004509;0.005304688018035939;0.045487699754658176;0.6952235704970934;0.5428353557456402;0.5026523440090179;0.5428353557456402;0.005304688018035939;0.011961512458881952;7.475945286801217E-4;0.011961512458881952;0.02814588926007447;0.008703471187095357;0.019582810170964554;0.002990378114720488;0.019582810170964554;0.011961512458881952
Adult;Loss;5-anonymity;RGR;0.1;2443.0;0.2134357586174513;5.0;1.657715005636231E-4;2.0;1.657715005636231E-4;0.751326172004509;0.005304688018035939;0.04291824149592202;0.6935105983246026;0.5428353557456402;0.5026523440090179;0.5428353557456402;1.657715005636231E-4;0.006878671284331237;7.475945286801217E-4;0.011961512458881952;0.024538310492569812;0.008230000718730295;0.019582810170964554;0.002990378114720488;0.019582810170964554;0.006878671284331237
Adult;Loss;5-anonymity;RGR;0.1;2486.0;0.21340347468849327;0.0;0.0;3.0;1.657715005636231E-4;0.751326172004509;0.005304688018035939;0.04291824149592202;0.6934000839908936;0.5427524699953584;0.5026523440090179;0.5428353557456402;1.657715005636231E-4;0.006878671284331237;7.475945286801217E-4;0.011961512458881952;0.024538310492569812;0.008235920802211123;0.019548467001037906;0.002990378114720488;0.019582810170964554;0.006878671284331237
Cup;Loss;5-anonymity;RGR;0.05;9247.0;0.14729676771402941;2578.0;0.04063618164909128;0.0;0.8081272363298183;0.7601590454122729;0.04063618164909128;0.04063618164909128;0.04063618164909128;0.28047713623681847;0.5203180908245456;0.28047713623681847;-0.1;0.0015593952956029329;0.0024365551493795838;0.03898488239007333;0.03898488239007333;0.03898488239007333;0.02192899634441625;0.009746220597518335;0.02192899634441625;-0.1
Cup;Loss;5-anonymity;RGR;0.05;9786.0;0.12459349426393432;114.0;0.0017969451931716084;1.0;0.8081272363298183;0.7504492362982929;0.0017969451931716084;0.0017969451931716084;0.04063618164909128;0.2610575180088586;0.5106082817105657;0.25134770889487873;-0.1;0.0015593952956029329;2.1092594663799146E-4;0.003374815146207848;0.003374815146207848;0.03898488239007333;0.004089775752742221;0.003052239504422912;0.0018983335197419143;-0.1
Cup;Loss;5-anonymity;RGR;0.05;10070.0;0.1241035526615249;5.0;7.881338566542141E-5;2.0;0.8081272363298183;0.7504492362982929;0.0017969451931716084;9.378792894185148E-4;0.04063618164909128;0.2606279850569821;0.5101787487586892;0.2500591100392491;-0.1;0.0015593952956029329;2.1092594663799146E-4;0.003374815146207848;0.0020909108577766007;0.03898488239007333;0.0035631307353501222;0.002739589809279438;9.355067710092222E-4;-0.1
Cup;Loss;5-anonymity;RGR;0.05;10348.0;0.1241035526615249;5.0;7.881338566542141E-5;3.0;0.8081272363298183;0.7504492362982929;0.0017969451931716084;9.378792894185148E-4;0.04063618164909128;0.2606279850569821;0.5101787487586892;0.2500591100392491;-0.1;0.0015593952956029329;2.1092594663799146E-4;0.003374815146207848;0.0020909108577766007;0.03898488239007333;0.0035631307353501222;0.002739589809279438;9.355067710092222E-4;-0.1
Cup;Loss;5-anonymity;RGR;0.1;9449.0;0.14729676771402941;2578.0;0.04063618164909128;0.0;0.8081272363298183;0.7601590454122729;0.04063618164909128;0.04063618164909128;0.04063618164909128;0.28047713623681847;0.5203180908245456;0.28047713623681847;-0.1;0.0015593952956029329;0.0024365551493795838;0.03898488239007333;0.03898488239007333;0.03898488239007333;0.02192899634441625;0.009746220597518335;0.02192899634441625;-0.1
Cup;Loss;5-anonymity;RGR;0.1;10040.0;0.12425014018273874;166.0;0.002616604404091991;1.0;0.8081272363298183;0.750654151101023;0.002616604404091991;0.002616604404091991;0.04063618164909128;0.26146734761431883;0.501308302202046;0.251962453303069;-0.1;0.0015593952956029329;2.617116343553671E-4;0.004187386149685859;0.004187386149685859;0.03898488239007333;0.004481517771711073;0.0010468465374214647;0.0023554047091982958;-0.1
Cup;Loss;5-anonymity;RGR;0.1;10378.0;0.12336898080412395;16.0;2.5220283412934853E-4;2.0;0.8081272363298183;0.750654151101023;2.5220283412934853E-4;0.002616604404091991;0.04063618164909128;0.2602851468293375;0.5007172018095554;0.250189152125597;-0.1;0.0015593952956029329;2.617116343553671E-4;0.001836532855939201;0.004187386149685859;0.038984882390073326;0.0033282079435936703;6.059126626877468E-4;0.0010330497314658008;-0.1
Cup;Loss;5-anonymity;RGR;0.1;10655.0;0.1233346195032465;1.0;1.5762677133084283E-5;3.0;0.8081272363298183;0.750654151101023;2.5220283412934853E-4;0.002616604404091991;0.04063618164909128;0.26022603679008843;0.5005989817310572;0.250189152125597;-0.1;0.0015593952956029329;2.617116343553671E-4;0.001836532855939201;0.004187386149685859;0.038984882390073326;0.0032555513732085524;5.469740229694681E-4;0.0010330497314658008;-0.1
Fars;Loss;5-anonymity;RGR;0.05;4693.0;0.1666661866537311;4597.0;0.04554325965701378;0.0;0.6182173038628055;0.04554325965701378;0.36369550643800913;0.36369550643800913;0.04554325965701378;0.04554325965701378;0.6818477532190045;0.04554325965701378;-0.1;0.006955051385092416;0.0434690711568276;0.019319587180812267;0.019319587180812267;0.0434690711568276;0.0434690711568276;0.0048298967952030685;0.0434690711568276;-0.1
Fars;Loss;5-anonymity;RGR;0.05;5084.0;0.13889232502341983;212.0;0.002100320001585147;1.0;0.6182173038628055;0.023821789829299465;0.3492145265528663;0.33473354666772337;0.002100320001585147;0.002100320001585147;0.6818477532190045;0.002100320001585147;-0.1;0.006955051385092416;0.013831667551749223;0.006147407800777431;0.0018095206289341463;0.004071421415101833;0.004071421415101833;0.0048298967952030685;0.004071421415101833;-0.1
Fars;Loss;5-anonymity;RGR;0.05;5156.0;0.13829640662455123;10.0;9.907169818797864E-5;2.0;0.6182173038628055;0.023821789829299465;0.3492145265528663;0.33473354666772337;9.907169818797864E-5;0.002100320001585147;0.6811806704512055;9.907169818797864E-5;-0.1;0.006955051385092416;0.013831667551749223;0.006147407800777431;0.0018095206289341463;0.0020789669249008155;0.004071421415101833;0.004627792409009522;0.0020789669249008155;-0.1
Fars;Loss;5-anonymity;RGR;0.05;5222.0;0.13829640662455123;10.0;9.907169818797864E-5;3.0;0.6182173038628055;0.023821789829299465;0.3492145265528663;0.33473354666772337;9.907169818797864E-5;0.002100320001585147;0.6811806704512055;9.907169818797864E-5;-0.1;0.006955051385092416;0.013831667551749223;0.006147407800777431;0.0018095206289341463;0.0020789669249008155;0.004071421415101833;0.004627792409009522;0.0020789669249008155;-0.1
Fars;Loss;5-anonymity;RGR;0.1;4831.0;0.16280366718500633;6438.0;0.06378235929342065;0.0;0.6255129437173683;0.06378235929342065;0.37585490619561374;0.37585490619561374;0.06378235929342065;0.06378235929342065;0.37585490619561374;0.06378235929342065;-0.1;0.009554267189821705;0.05971416993638563;0.026539631082838064;0.026539631082838064;0.05971416993638563;0.05971416993638563;0.026539631082838064;0.05971416993638563;-0.1
Fars;Loss;5-anonymity;RGR;0.1;5467.0;0.12154138441976053;393.0;0.0038935177387875606;1.0;0.6255129437173683;0.0338379385161041;0.35589195901073606;0.35589195901073606;0.0038935177387875606;0.0038935177387875606;0.35589195901073606;0.0038935177387875606;-0.1;0.009554267189821705;0.020457457792577783;0.009092203463367905;0.009092203463367905;0.00767287632723842;0.00767287632723842;0.009092203463367905;0.00767287632723842;-0.1
