;;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;gsFactorStepSize;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;0.0;0.05;5.0;30162.0;9.0;0.2739245195979827;1258.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.05;0.05;5.0;30162.0;9.0;0.2739245195979827;1225.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.1;0.05;5.0;30162.0;9.0;0.2739245195979827;1221.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.15;0.05;5.0;30162.0;9.0;0.2739245195979827;1253.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.2;0.05;5.0;30162.0;9.0;0.2739245195979827;1220.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.25;0.05;5.0;30162.0;9.0;0.2739245195979827;1253.2;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.3;0.05;5.0;30162.0;9.0;0.2739245195979827;1268.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.35;0.05;5.0;30162.0;9.0;0.2739245195979827;1234.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.4;0.05;5.0;30162.0;9.0;0.2739245195979827;1272.8;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.45;0.05;5.0;30162.0;9.0;0.2739245195979827;1298.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.5;0.05;5.0;30162.0;9.0;0.2739245195979827;1265.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5.0;30162.0;9.0;0.21287477333271604;1265.2;2.0;6.630860022544923E-5;0.006044340852916171;0.006033565748449684
Adult;Loss;5-anonymity;RGR;0.1;0.05;0.05;5.0;30162.0;9.0;0.21287477333271604;1312.4;2.0;6.630860022544923E-5;0.006044340852916171;0.006033565748449684
Adult;Loss;5-anonymity;RGR;0.1;0.1;0.05;5.0;30162.0;9.0;0.21287477333271604;1249.6;2.0;6.630860022544923E-5;0.006044340852916171;0.006033565748449684
Adult;Loss;5-anonymity;RGR;0.1;0.15;0.05;5.0;30162.0;9.0;0.2129335066995503;1349.0;10.0;3.315430011272462E-4;0.00607726780025442;0.006023400597181992
Adult;Loss;5-anonymity;RGR;0.1;0.2;0.05;5.0;30162.0;9.0;0.2129335066995503;1455.0;10.0;3.315430011272462E-4;0.00607726780025442;0.006023400597181992
Adult;Loss;5-anonymity;RGR;0.1;0.25;0.05;5.0;30162.0;9.0;0.2129335066995503;1542.8;10.0;3.315430011272462E-4;0.00607726780025442;0.006023400597181992
Adult;Loss;5-anonymity;RGR;0.1;0.3;0.05;5.0;30162.0;9.0;0.2129335066995503;1511.2;10.0;3.315430011272462E-4;0.00607726780025442;0.006023400597181992
Adult;Loss;5-anonymity;RGR;0.1;0.35;0.05;5.0;30162.0;9.0;0.2129335066995503;1571.6;10.0;3.315430011272462E-4;0.00607726780025442;0.006023400597181992
Adult;Loss;5-anonymity;RGR;0.1;0.4;0.05;5.0;30162.0;9.0;0.21340347468849327;1672.8;0.0;0.0;0.0036642035431688697;0.0036642035431688697
Adult;Loss;5-anonymity;RGR;0.1;0.45;0.05;5.0;30162.0;9.0;0.21340347468849327;1826.2;0.0;0.0;0.0036642035431688697;0.0036642035431688697
Adult;Loss;5-anonymity;RGR;0.1;0.5;0.05;5.0;30162.0;9.0;0.21340347468849327;1845.0;0.0;0.0;0.0036642035431688697;0.0036642035431688697
Adult;Loss;5-anonymity;RGR;0.2;0.0;0.05;5.0;30162.0;9.0;0.14355218423448368;1138.8;1.0;3.315430011272462E-5;0.011296116524283717;0.011288640994857192
Adult;Loss;5-anonymity;RGR;0.2;0.05;0.05;5.0;30162.0;9.0;0.14355218423448368;1262.0;1.0;3.315430011272462E-5;0.011296116524283717;0.011288640994857192
Adult;Loss;5-anonymity;RGR;0.2;0.1;0.05;5.0;30162.0;9.0;0.14355218423448368;1478.8;1.0;3.315430011272462E-5;0.011296116524283717;0.011288640994857192
Adult;Loss;5-anonymity;RGR;0.2;0.15;0.05;5.0;30162.0;9.0;0.14643646672661811;1660.0;2.0;6.630860022544923E-5;0.011893132871523202;0.011877994642200131
Adult;Loss;5-anonymity;RGR;0.2;0.2;0.05;5.0;30162.0;9.0;0.14643646672661811;1916.6;2.0;6.630860022544923E-5;0.011893132871523205;0.01187799464220013
Adult;Loss;5-anonymity;RGR;0.2;0.25;0.05;5.0;30162.0;9.0;0.15434847934208776;2024.0;0.0;0.0;0.007588701152041694;0.007588701152041694
Adult;Loss;5-anonymity;RGR;0.2;0.3;0.05;5.0;30162.0;9.0;0.15434847934208776;2357.2;0.0;0.0;0.007588701152041694;0.007588701152041694
Adult;Loss;5-anonymity;RGR;0.2;0.35;0.05;5.0;30162.0;9.0;0.15434847934208776;2655.2;0.0;0.0;0.007588701152041694;0.007588701152041694
Adult;Loss;5-anonymity;RGR;0.2;0.4;0.05;5.0;30162.0;9.0;0.18526264785830918;2815.4;0.0;0.0;0.00541667634573173;0.00541667634573173
Adult;Loss;5-anonymity;RGR;0.2;0.45;0.05;5.0;30162.0;9.0;0.21123855066316785;2747.0;3.0;9.946290033817386E-5;0.005406852061093394;0.005390511969890075
Adult;Loss;5-anonymity;RGR;0.2;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;2809.6;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
