;;;;;;;K;Records;QIs;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;0.001;0.05;5.0;30162.0;9.0;0.2739245195979827;1238.8;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.03;0.05;5.0;30162.0;9.0;0.2739245195979827;1215.8;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.05;0.05;5.0;30162.0;9.0;0.2739245195979827;1220.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.08;0.05;5.0;30162.0;9.0;0.2739245195979827;1239.8;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.1;0.05;5.0;30162.0;9.0;0.2739245195979827;1208.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.13;0.05;5.0;30162.0;9.0;0.2739245195979827;1248.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.15;0.05;5.0;30162.0;9.0;0.2739245195979827;1253.2;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.17;0.05;5.0;30162.0;9.0;0.2739245195979827;1227.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.2;0.05;5.0;30162.0;9.0;0.2739245195979827;1222.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.3;0.05;5.0;30162.0;9.0;0.2739245195979827;1262.2;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.4;0.05;5.0;30162.0;9.0;0.2739245195979827;1277.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.5;0.05;5.0;30162.0;9.0;0.2739245195979827;1257.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
