;;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;gsFactorStepSize;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.0;0.05;0.0;5.0;30162.0;9.0;0.6863968470754812;67.4;0.0;0.0;2.143016179725453E-26;2.143016179725453E-26
Adult;Loss;5-anonymity;RGR;0.0;0.1;0.0;5.0;30162.0;9.0;0.6863968470754812;68.2;0.0;0.0;2.143016179725453E-26;2.143016179725453E-26
Adult;Loss;5-anonymity;RGR;0.0;0.5;0.0;5.0;30162.0;9.0;0.6863968470754812;70.0;0.0;0.0;2.143016179725453E-26;2.143016179725453E-26
Adult;Loss;5-anonymity;RGR;0.0;0.05;0.05;5.0;30162.0;9.0;0.6863968470754812;69.2;0.0;0.0;2.143016179725453E-26;2.143016179725453E-26
Adult;Loss;5-anonymity;RGR;0.0;0.1;0.05;5.0;30162.0;9.0;0.6863968470754812;73.0;0.0;0.0;2.143016179725453E-26;2.143016179725453E-26
Adult;Loss;5-anonymity;RGR;0.0;0.5;0.05;5.0;30162.0;9.0;0.6863968470754812;70.0;0.0;0.0;2.143016179725453E-26;2.143016179725453E-26
Adult;Loss;5-anonymity;RGR;0.001;0.05;0.0;5.0;30162.0;9.0;0.5573159954286263;460.8;0.0;0.0;8.415269697997325E-5;8.415269697997325E-5
Adult;Loss;5-anonymity;RGR;0.001;0.1;0.0;5.0;30162.0;9.0;0.5573159954286263;438.2;0.0;0.0;8.415269697997325E-5;8.415269697997325E-5
Adult;Loss;5-anonymity;RGR;0.001;0.5;0.0;5.0;30162.0;9.0;0.5573159954286263;411.8;0.0;0.0;8.415269697997325E-5;8.415269697997325E-5
Adult;Loss;5-anonymity;RGR;0.001;0.05;0.05;5.0;30162.0;9.0;0.5573159954286263;433.4;0.0;0.0;8.415269697997325E-5;8.415269697997325E-5
Adult;Loss;5-anonymity;RGR;0.001;0.1;0.05;5.0;30162.0;9.0;0.5573159954286263;431.2;0.0;0.0;8.415269697997325E-5;8.415269697997325E-5
Adult;Loss;5-anonymity;RGR;0.001;0.5;0.05;5.0;30162.0;9.0;0.5573159954286263;408.4;0.0;0.0;8.415269697997325E-5;8.415269697997325E-5
