;;;;;;K;Records;QIs;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;9.0;0.2739245195979827;1360.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;9.0;0.21340347468849327;1881.0;0.0;0.0;0.0036642035431688697;0.0036642035431688697
Adult;Loss;5-anonymity;RGR;0.2;0.5;5.0;30162.0;9.0;0.21310775428150958;2843.0;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.3;0.5;5.0;30162.0;9.0;0.21310775428150958;3786.6;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.999;0.5;5.0;30162.0;9.0;0.21310775428150958;6624.8;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Cup;Loss;5-anonymity;RGR;0.05;0.5;5.0;63441.0;8.0;0.12410355266152488;8172.0;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.1;0.5;5.0;63441.0;8.0;0.1233346195032465;8714.0;1.0;1.5762677133084283E-5;0.0017420035288189105;0.001738371699952821
Cup;Loss;5-anonymity;RGR;0.2;0.5;5.0;63441.0;8.0;0.12319915799503559;10309.6;5.0;7.881338566542141E-5;0.0016420894294556826;0.0016239104866639178
Cup;Loss;5-anonymity;RGR;0.3;0.5;5.0;63441.0;8.0;0.12318310210916532;11310.4;2.0;3.1525354266168566E-5;0.001640069901686359;0.0016327985210346633
Cup;Loss;5-anonymity;RGR;0.999;0.5;5.0;63441.0;8.0;0.12318310210916532;37343.2;2.0;3.1525354266168566E-5;0.001640069901686359;0.0016327985210346633
