;;;;;Time;Utility;Suppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.02;2761.0;0.37619606632154173;0.018367482262449438
Adult;Loss;5-anonymity;RGR;0.02;2955.0;0.37106883830245607;3.6469730123997083E-4
Adult;Loss;5-anonymity;RGR;0.02;3032.0;0.37102078565921204;0.0
Adult;Loss;5-anonymity;RGR;0.05;2164.0;0.2925002644589774;0.04585239705589815
Adult;Loss;5-anonymity;RGR;0.05;2299.0;0.2744436326249609;0.002188183807439825
Adult;Loss;5-anonymity;RGR;0.05;2342.0;0.2739245195979827;9.946290033817386E-5
Adult;Loss;5-anonymity;RGR;0.1;3211.0;0.25510998050475003;0.08567071149128042
Adult;Loss;5-anonymity;RGR;0.1;3522.0;0.21484651742769745;0.005304688018035939
Adult;Loss;5-anonymity;RGR;0.1;3572.0;0.2134357586174513;1.657715005636231E-4
Adult;Loss;5-anonymity;RGR;0.1;3613.0;0.21340347468849327;0.0
Adult;Loss;5-anonymity;RGR;1.0;7806.0;0.25510998050475003;0.08567071149128042
Adult;Loss;5-anonymity;RGR;1.0;10809.0;0.21484651742769745;0.005304688018035939
Adult;Loss;5-anonymity;RGR;1.0;11114.0;0.21319134106285448;7.957032027053909E-4
Adult;Loss;5-anonymity;RGR;1.0;11266.0;0.2131077542815096;9.946290033817386E-5
Adult;Discernibility;5-anonymity;RGR;0.02;1600.0;0.0078110509403538685;0.003481201511836085
Adult;Discernibility;5-anonymity;RGR;0.02;1632.0;0.004331537291222646;0.0
Adult;Discernibility;5-anonymity;RGR;0.05;2781.0;0.0078110509403538685;0.003481201511836085
Adult;Discernibility;5-anonymity;RGR;0.05;2804.0;0.004463606249102837;1.3261720045089847E-4
Adult;Discernibility;5-anonymity;RGR;0.1;4840.0;0.0078110509403538685;0.003481201511836085
Adult;Discernibility;5-anonymity;RGR;0.1;4920.0;0.004529630833919529;1.9892580067634773E-4
Adult;Discernibility;5-anonymity;RGR;0.1;4946.0;0.004330719377021313;0.0
Adult;Discernibility;5-anonymity;RGR;1.0;10876.0;0.0078110509403538685;0.003481201511836085
Adult;Discernibility;5-anonymity;RGR;1.0;11041.0;0.004529630833919529;1.9892580067634773E-4
Adult;Discernibility;5-anonymity;RGR;1.0;11083.0;0.004363865789769125;3.315430011272462E-5
Cup;Loss;5-anonymity;RGR;0.02;15684.0;0.17051754405658903;0.019860973187686197
Cup;Loss;5-anonymity;RGR;0.02;16249.0;0.16098602462897188;2.5220283412934853E-4
Cup;Loss;5-anonymity;RGR;0.02;16638.0;0.16097370773531794;0.0
Cup;Loss;5-anonymity;RGR;0.05;14140.0;0.14729676771402941;0.04063618164909128
Cup;Loss;5-anonymity;RGR;0.05;14892.0;0.12459349426393432;0.0017969451931716084
Cup;Loss;5-anonymity;RGR;0.05;15283.0;0.1241035526615249;7.881338566542141E-5
Cup;Loss;5-anonymity;RGR;0.05;15670.0;0.1241035526615249;7.881338566542141E-5
Cup;Loss;5-anonymity;RGR;0.1;14746.0;0.14729676771402941;0.04063618164909128
Cup;Loss;5-anonymity;RGR;0.1;15633.0;0.12425014018273874;0.002616604404091991
Cup;Loss;5-anonymity;RGR;0.1;16052.0;0.12336898080412395;2.5220283412934853E-4
