;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.0;0.0;0.01;5;30162;9;0.5731509656;66.0;0.0;0.0;0.0;0.0;1.0
Adult;Loss;5-anonymity;RGR;0.001;0.0;0.01;5;30162;9;0.4675251354;408.0;0.0;0.0;3.16256E-5;3.16256E-5;2.0
Adult;Loss;5-anonymity;RGR;0.01;0.0;0.01;5;30162;9;0.3580623986;907.0;0.0;0.0;2.10542E-5;2.10542E-5;2.0
Adult;Loss;5-anonymity;RGR;0.025;0.0;0.01;5;30162;9;0.2807352556;1272.0;0.0;0.0;1.738036E-4;1.738036E-4;4.0
Adult;Loss;5-anonymity;RGR;0.05;0.0;0.01;5;30162;9;0.2147930095;1594.0;0.0;0.0;3.431778E-4;3.431778E-4;6.0
Adult;Loss;5-anonymity;RGR;0.075;0.0;0.01;5;30162;9;0.1844517319;1921.0;0.0;0.0;3.518103E-4;3.518103E-4;8.0
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.01;5;30162;9;0.1614344652;2019.0;0.0;0.0;2.994967E-4;2.994967E-4;9.0
Adult;Loss;5-anonymity;RGR;0.125;0.0;0.01;5;30162;9;0.134407314;2532.0;0.0;0.0;5.328004E-4;5.328004E-4;13.0
Adult;Loss;5-anonymity;RGR;0.15;0.0;0.01;5;30162;9;0.1221930327;2708.0;0.0;0.0;5.014111E-4;5.014111E-4;14.0
Adult;Loss;5-anonymity;RGR;0.175;0.0;0.01;5;30162;9;0.1113776935;2797.0;0.0;0.0;6.114158E-4;6.114158E-4;15.0
Adult;Loss;5-anonymity;RGR;0.2;0.0;0.01;5;30162;9;0.0978402195;3240.0;0.0;0.0;5.88322E-4;5.88322E-4;18.0
Adult;Loss;5-anonymity;RGR;0.3;0.0;0.01;5;30162;9;0.0773115123;4237.0;0.0;0.0;8.794909E-4;8.794909E-4;26.0
Adult;Loss;5-anonymity;RGR;0.4;0.0;0.01;5;30162;9;0.066414093;4553.0;0.0;0.0;0.0010156904;0.0010156904;28.0
Adult;Loss;5-anonymity;RGR;0.5;0.0;0.01;5;30162;9;0.0606412652;5023.0;0.0;0.0;0.0010464778;0.0010464778;33.0
Adult;Loss;5-anonymity;RGR;0.6;0.0;0.01;5;30162;9;0.0588239534;4705.0;0.0;0.0;0.0010255813;0.0010255813;32.0
Adult;Loss;5-anonymity;RGR;0.7;0.0;0.01;5;30162;9;0.0588239534;4677.0;0.0;0.0;0.0010255813;0.0010255813;32.0
Adult;Loss;5-anonymity;RGR;0.8;0.0;0.01;5;30162;9;0.058002091;4849.0;0.0;0.0;0.0010124951;0.0010124951;34.0
Adult;Loss;5-anonymity;RGR;0.9;0.0;0.01;5;30162;9;0.058002091;4864.0;0.0;0.0;0.0010124951;0.0010124951;34.0
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.01;5;30162;9;0.058002091;4811.0;0.0;0.0;0.0010124951;0.0010124951;34.0
Adult;Loss;5-anonymity;RGR;1.0;0.0;0.01;5;30162;9;0.058002091;4845.0;0.0;0.0;0.0010124951;0.0010124951;34.0
Cup;Loss;5-anonymity;RGR;0.0;0.0;0.01;5;63441;8;0.7776985289;244.0;0.0;0.0;0.0;0.0;1.0
Cup;Loss;5-anonymity;RGR;0.001;0.0;0.01;5;63441;8;0.3947113048;3706.0;0.0;0.0;3.0174E-6;3.0174E-6;2.0
Cup;Loss;5-anonymity;RGR;0.01;0.0;0.01;5;63441;8;0.2298029116;7212.0;0.0;0.0;5.94803E-5;5.94803E-5;2.0
Cup;Loss;5-anonymity;RGR;0.025;0.0;0.01;5;63441;8;0.1611460898;8619.0;0.0;0.0;3.31762E-5;3.31762E-5;3.0
Cup;Loss;5-anonymity;RGR;0.05;0.0;0.01;5;63441;8;0.1119581565;9069.0;0.0;0.0;1.824054E-4;1.824054E-4;5.0
Cup;Loss;5-anonymity;RGR;0.075;0.0;0.01;5;63441;8;0.1009557391;10086.0;0.0;0.0;2.213374E-4;2.213374E-4;8.0
