;;;;;QIDs;Utility;Runtime
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;1.0;0.0;12.6
Adult;Loss;5-anonymity;RGR;0.1;1.0;0.0;6.4
Adult;Loss;5-anonymity;RGR;0.05;2.0;5.2004844153133075E-5;3.2
Adult;Loss;5-anonymity;RGR;0.1;2.0;5.2004844153133075E-5;15.6
Adult;Loss;5-anonymity;RGR;0.05;3.0;0.00717525927839039;18.8
Adult;Loss;5-anonymity;RGR;0.1;3.0;0.0019462611260819599;18.8
Adult;Loss;5-anonymity;RGR;0.05;4.0;0.022601680984825193;24.8
Adult;Loss;5-anonymity;RGR;0.1;4.0;0.020372703660657417;21.8
Adult;Loss;5-anonymity;RGR;0.05;5.0;0.06443245707273121;55.8
Adult;Loss;5-anonymity;RGR;0.1;5.0;0.06422186447278538;44.0
Adult;Loss;5-anonymity;RGR;0.05;6.0;0.14787009506958537;98.2
Adult;Loss;5-anonymity;RGR;0.1;6.0;0.10013796203702777;119.0
Adult;Loss;5-anonymity;RGR;0.05;7.0;0.17380903676691684;283.2
Adult;Loss;5-anonymity;RGR;0.1;7.0;0.11898739366565395;334.4
Adult;Loss;5-anonymity;RGR;0.05;8.0;0.2662807974084261;935.2
Adult;Loss;5-anonymity;RGR;0.1;8.0;0.20176665430484206;1167.6
Adult;Loss;5-anonymity;RGR;0.05;9.0;0.2739245195979827;1671.6
Adult;Loss;5-anonymity;RGR;0.1;9.0;0.21340347468849327;2470.8
Cup;Loss;5-anonymity;RGR;0.05;1.0;5.0153972696132637E-5;12.6
Cup;Loss;5-anonymity;RGR;0.1;1.0;5.0153972696132637E-5;15.6
Cup;Loss;5-anonymity;RGR;0.05;2.0;0.0016328979355383117;19.0
Cup;Loss;5-anonymity;RGR;0.1;2.0;3.2693247649057057E-4;18.6
Cup;Loss;5-anonymity;RGR;0.05;3.0;0.016917755308790066;28.2
Cup;Loss;5-anonymity;RGR;0.1;3.0;0.016917755308790066;37.4
Cup;Loss;5-anonymity;RGR;0.05;4.0;0.029474260505234127;37.6
Cup;Loss;5-anonymity;RGR;0.1;4.0;0.029355823352077353;46.8
Cup;Loss;5-anonymity;RGR;0.05;5.0;0.07642912491780254;166.4
Cup;Loss;5-anonymity;RGR;0.1;5.0;0.07561637872061291;180.4
Cup;Loss;5-anonymity;RGR;0.05;6.0;0.11068747468900422;462.4
Cup;Loss;5-anonymity;RGR;0.1;6.0;0.10971133947779546;547.2
Cup;Loss;5-anonymity;RGR;0.05;7.0;0.11452806759220077;3635.2
Cup;Loss;5-anonymity;RGR;0.1;7.0;0.11369977256595606;3425.0
Cup;Loss;5-anonymity;RGR;0.05;8.0;0.12410355266152488;10981.4
Cup;Loss;5-anonymity;RGR;0.1;8.0;0.1233346195032465;11736.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;1.0;1.326128037663743E-4;263411.2
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;2.0;7.502408513341645E-4;78574.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;3.0;0.0016631510537491428;397404.4
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;4.0;0.005150395029969073;277573.6
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;0.017187015953332725;203551.2
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;6.0;0.02548713897391191;354607.0
