;;;;;Privacy Strength;Records;QIs;Utility;Runtime
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;9.0;0.2739245195979827;2341.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;9.0;0.21340347468849327;2329.0
Cup;Loss;5-anonymity;RGR;0.05;5.0;63441.0;8.0;0.1241035526615249;9769.0
Cup;Loss;5-anonymity;RGR;0.1;5.0;63441.0;8.0;0.1233346195032465;10412.0
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;9.0;0.2925002644589774;1468.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;9.0;0.25510998050475003;1964.0
Cup;Loss;5-anonymity;Flash;0.05;5.0;63441.0;8.0;0.14729676771402941;8765.0
Cup;Loss;5-anonymity;Flash;0.1;5.0;63441.0;8.0;0.14729676771402941;9347.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;30163.0;9.0;0.06972039953115453;227024.0
Cup;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;63442.0;8.0;0.07889906116382832;1827967.0
Adult;Loss;10-anonymity;RGR;0.05;10.0;30162.0;9.0;0.3279955017685254;1511.0
Adult;Loss;10-anonymity;RGR;0.1;10.0;30162.0;9.0;0.2671190498438023;1981.0
Cup;Loss;10-anonymity;RGR;0.05;10.0;63441.0;8.0;0.1640595114527775;9687.0
Cup;Loss;10-anonymity;RGR;0.1;10.0;63441.0;8.0;0.13353601075666918;11188.0
Adult;Loss;10-anonymity;Flash;0.05;10.0;30162.0;9.0;0.34562306001411075;1352.0
Adult;Loss;10-anonymity;Flash;0.1;10.0;30162.0;9.0;0.30304863488816813;1746.0
Cup;Loss;10-anonymity;Flash;0.05;10.0;63441.0;8.0;0.18061795039104184;9042.0
Cup;Loss;10-anonymity;Flash;0.1;10.0;63441.0;8.0;0.18311174227997387;9983.0
Adult;Loss;10-anonymity;Tassa & Goldberger;0.0;10.0;30163.0;9.0;0.10833476487006093;114820.0
Cup;Loss;10-anonymity;Tassa & Goldberger;0.0;10.0;63442.0;8.0;0.10288944465848802;739319.0
Adult;Loss;25-anonymity;RGR;0.05;25.0;30162.0;9.0;0.425274928528981;1150.0
Adult;Loss;25-anonymity;RGR;0.1;25.0;30162.0;9.0;0.34366627698962005;1621.0
Cup;Loss;25-anonymity;RGR;0.05;25.0;63441.0;8.0;0.20630625150559403;9516.0
Cup;Loss;25-anonymity;RGR;0.1;25.0;63441.0;8.0;0.1715167800210165;10336.0
Adult;Loss;25-anonymity;Flash;0.05;25.0;30162.0;9.0;0.4381663882476645;1101.0
Adult;Loss;25-anonymity;Flash;0.1;25.0;30162.0;9.0;0.37309198701848406;1505.0
Cup;Loss;25-anonymity;Flash;0.05;25.0;63441.0;8.0;0.23185636022522216;9340.0
Cup;Loss;25-anonymity;Flash;0.1;25.0;63441.0;8.0;0.20643292239941094;9485.0
Adult;Loss;25-anonymity;Tassa & Goldberger;0.0;25.0;30163.0;9.0;0.17148328983049424;58927.0
Cup;Loss;25-anonymity;Tassa & Goldberger;0.0;25.0;63442.0;8.0;0.1356151609525358;246330.0
Adult;Loss;50-anonymity;RGR;0.05;50.0;30162.0;9.0;0.49533445441259755;861.0
Adult;Loss;50-anonymity;RGR;0.1;50.0;30162.0;9.0;0.4133312323086077;1266.0
Cup;Loss;50-anonymity;RGR;0.05;50.0;63441.0;8.0;0.24645669624058558;7777.0
Cup;Loss;50-anonymity;RGR;0.1;50.0;63441.0;8.0;0.219393000251435;9396.0
Adult;Loss;50-anonymity;Flash;0.05;50.0;30162.0;9.0;0.5028728976415537;802.0
Adult;Loss;50-anonymity;Flash;0.1;50.0;30162.0;9.0;0.43847434012765574;1165.0
Cup;Loss;50-anonymity;Flash;0.05;50.0;63441.0;8.0;0.2624112690921138;7194.0
Cup;Loss;50-anonymity;Flash;0.1;50.0;63441.0;8.0;0.24908403679346192;8724.0
Adult;Loss;50-anonymity;Tassa & Goldberger;0.0;50.0;30163.0;9.0;0.2334718267489521;32276.0
Cup;Loss;50-anonymity;Tassa & Goldberger;0.0;50.0;63442.0;8.0;0.16734529473554538;125120.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;1000.0;9.0;0.4684374984581413;184.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;2000.0;9.0;0.4026102302731712;260.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;3000.0;9.0;0.39427072511004574;338.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;4000.0;9.0;0.34791525755563396;410.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;5000.0;9.0;0.35309285697514226;481.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;6000.0;9.0;0.35019333524882135;549.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;7000.0;9.0;0.33489154966970575;603.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;8000.0;9.0;0.29354259079904194;748.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;9000.0;9.0;0.2911577821406957;745.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;10000.0;9.0;0.2879202326051533;791.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;11000.0;9.0;0.28841234551871275;906.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;12000.0;9.0;0.2711660025461879;994.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;13000.0;9.0;0.2672162915556942;1051.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;14000.0;9.0;0.26817491414723316;1115.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;15000.0;9.0;0.262789767759489;1109.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;16000.0;9.0;0.2629120311182258;1216.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;17000.0;9.0;0.2613250294594528;1268.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;18000.0;9.0;0.2623408622518735;1447.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;19000.0;9.0;0.25879045759821223;1422.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;20000.0;9.0;0.2576933392522424;1558.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;21000.0;9.0;0.2481394525870033;1600.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;22000.0;9.0;0.24720313125061122;1707.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;23000.0;9.0;0.21883193585280633;1603.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;24000.0;9.0;0.21808281768652887;1792.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;25000.0;9.0;0.21737800676890565;1836.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;26000.0;9.0;0.21660596639416707;1908.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;27000.0;9.0;0.21705947534173525;2145.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;28000.0;9.0;0.21610400960882764;2091.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;29000.0;9.0;0.21527547311456424;2130.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;30000.0;9.0;0.21348078824461494;2220.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;1000.0;9.0;0.49557089246962854;125.0
