;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Variance
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;1.0;0.0;9.9;0.0
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;1.0;0.0;7.3;0.0
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;2.0;5.200484415313307E-5;12.8;9.110782324922685E-5
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;2.0;5.200484415313307E-5;9.8;9.110782324922685E-5
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;3.0;0.007175259278390389;14.7;0.004630677724091452
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;3.0;0.0019462611260819599;14.3;0.003063441978149386
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;4.0;0.02260168098482519;17.9;0.0031987360697473786
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;4.0;0.020372703660657413;17.6;0.004971001267525563
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;5.0;0.06443245707273122;41.2;0.013351544176502365
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;5.0;0.0642218644727854;34.8;0.005771167781265388
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;6.0;0.14787009506958534;85.9;0.004781147310372046
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;6.0;0.10013796203702777;96.2;0.008813986971147821
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;7.0;0.17380903676691686;219.0;0.009085246327460769
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;7.0;0.11898739366565395;274.9;0.011683965729568868
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;8.0;0.2662807974084261;769.1;0.007949590536528172
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;8.0;0.20176665430484203;1005.0;0.009129087311790884
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;9.0;0.27392451959798264;1439.4;0.00679869395536883
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;9.0;0.21340347468849324;2082.6;0.00825795131434258
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;1.0;0.0;5.5;0.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;1.0;0.0;4.5;0.0
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;2.0;7.665578716158692E-4;6.0;7.288625859938148E-4
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;2.0;7.665578716158692E-4;5.7;7.288625859938148E-4
