;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;0.0;5.0;30162.0;9.0;0.2739245195979827;1649.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.05;5.0;30162.0;9.0;0.2739245195979827;1565.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.1;5.0;30162.0;9.0;0.2739245195979827;1530.4;3.0;9.946290033817386E-5;0.0029650788997611717;NaN
Adult;Loss;5-anonymity;RGR;0.05;0.15;5.0;30162.0;9.0;0.2739245195979827;1570.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.2;5.0;30162.0;9.0;0.2739245195979827;1548.6;3.0;9.946290033817386E-5;0.0029650788997611717;NaN
Adult;Loss;5-anonymity;RGR;0.05;0.25;5.0;30162.0;9.0;0.2739245195979827;1575.8;3.0;9.946290033817386E-5;0.0029650788997611717;NaN
Adult;Loss;5-anonymity;RGR;0.05;0.3;5.0;30162.0;9.0;0.2739245195979827;1596.0;3.0;9.946290033817386E-5;0.0029650788997611717;NaN
Adult;Loss;5-anonymity;RGR;0.05;0.35;5.0;30162.0;9.0;0.2739245195979827;1539.2;3.0;9.946290033817386E-5;Infinity;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.4;5.0;30162.0;9.0;0.2739245195979827;1596.2;3.0;9.946290033817386E-5;Infinity;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.45;5.0;30162.0;9.0;0.2739245195979827;1619.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.5;5.0;30162.0;9.0;0.2739245195979827;1574.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.1;0.0;5.0;30162.0;9.0;0.21287477333271604;1615.8;2.0;6.630860022544923E-5;0.006044340852916171;NaN
Adult;Loss;5-anonymity;RGR;0.1;0.05;5.0;30162.0;9.0;0.21287477333271604;1654.6;2.0;6.630860022544923E-5;0.006044340852916171;0.006033565748449684
Adult;Loss;5-anonymity;RGR;0.1;0.1;5.0;30162.0;9.0;0.21287477333271604;1561.8;2.0;6.630860022544923E-5;Infinity;0.006033565748449684
Adult;Loss;5-anonymity;RGR;0.1;0.15;5.0;30162.0;9.0;0.2129335066995503;1706.2;10.0;3.315430011272462E-4;0.00607726780025442;NaN
Adult;Loss;5-anonymity;RGR;0.1;0.2;5.0;30162.0;9.0;0.2129335066995503;1796.4;10.0;3.315430011272462E-4;0.00607726780025442;0.006023400597181992
Adult;Loss;5-anonymity;RGR;0.1;0.25;5.0;30162.0;9.0;0.2129335066995503;1925.2;10.0;3.315430011272462E-4;0.00607726780025442;NaN
Adult;Loss;5-anonymity;RGR;0.1;0.3;5.0;30162.0;9.0;0.2129335066995503;1878.6;10.0;3.315430011272462E-4;Infinity;0.006023400597181992
Adult;Loss;5-anonymity;RGR;0.1;0.35;5.0;30162.0;9.0;0.2129335066995503;1962.8;10.0;3.315430011272462E-4;0.00607726780025442;NaN
Adult;Loss;5-anonymity;RGR;0.1;0.4;5.0;30162.0;9.0;0.21340347468849327;2087.0;0.0;0.0;0.0036642035431688697;Infinity
Adult;Loss;5-anonymity;RGR;0.1;0.45;5.0;30162.0;9.0;0.21340347468849327;2266.6;0.0;0.0;0.0036642035431688697;Infinity
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;30162.0;9.0;0.21340347468849327;2271.2;0.0;0.0;0.0036642035431688697;Infinity
Adult;Loss;5-anonymity;RGR;0.2;0.0;5.0;30162.0;9.0;0.14355218423448368;1703.4;1.0;3.315430011272462E-5;0.011296116524283717;Infinity
Adult;Loss;5-anonymity;RGR;0.2;0.05;5.0;30162.0;9.0;0.14355218423448368;2278.4;1.0;3.315430011272462E-5;0.011296116524283717;0.011288640994857192
Adult;Loss;5-anonymity;RGR;0.2;0.1;5.0;30162.0;9.0;0.14355218423448368;2356.4;1.0;3.315430011272462E-5;0.011296116524283717;0.011288640994857192
Adult;Loss;5-anonymity;RGR;0.2;0.15;5.0;30162.0;9.0;0.14643646672661811;2109.0;2.0;6.630860022544923E-5;0.011893132871523202;0.011877994642200131
Adult;Loss;5-anonymity;RGR;0.2;0.2;5.0;30162.0;9.0;0.14643646672661811;2458.2;2.0;6.630860022544923E-5;0.011893132871523205;0.01187799464220013
Adult;Loss;5-anonymity;RGR;0.2;0.25;5.0;30162.0;9.0;0.15434847934208776;2572.0;0.0;0.0;Infinity;0.007588701152041694
Adult;Loss;5-anonymity;RGR;0.2;0.3;5.0;30162.0;9.0;0.15434847934208776;2970.4;0.0;0.0;0.007588701152041694;Infinity
Adult;Loss;5-anonymity;RGR;0.2;0.35;5.0;30162.0;9.0;0.15434847934208776;3333.8;0.0;0.0;0.007588701152041694;0.007588701152041694
Adult;Loss;5-anonymity;RGR;0.2;0.4;5.0;30162.0;9.0;0.18526264785830918;3407.6;0.0;0.0;0.00541667634573173;0.00541667634573173
Adult;Loss;5-anonymity;RGR;0.2;0.45;5.0;30162.0;9.0;0.21123855066316785;3350.2;3.0;9.946290033817386E-5;0.005406852061093394;0.005390511969890075
Adult;Loss;5-anonymity;RGR;0.2;0.5;5.0;30162.0;9.0;0.21310775428150958;3408.4;3.0;9.946290033817386E-5;Infinity;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.3;0.0;5.0;30162.0;9.0;0.12311133116657018;1425.2;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.3;0.05;5.0;30162.0;9.0;0.12311133116657018;1783.4;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.3;0.1;5.0;30162.0;9.0;0.12311133116657018;3581.4;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.3;0.15;5.0;30162.0;9.0;0.12331596226672717;6141.2;2.0;6.630860022544923E-5;0.01884602884038523;0.01883023771375184
Adult;Loss;5-anonymity;RGR;0.3;0.2;5.0;30162.0;9.0;0.13687843973203018;4292.0;2.0;6.630860022544923E-5;0.009659623211166651;0.009644177566497457
Adult;Loss;5-anonymity;RGR;0.3;0.25;5.0;30162.0;9.0;0.15421764189238168;3518.2;0.0;0.0;0.007603212619579566;0.007603212619579566
Adult;Loss;5-anonymity;RGR;0.3;0.3;5.0;30162.0;9.0;0.15421764189238168;3974.0;0.0;0.0;0.007603212619579566;0.007603212619579566
Adult;Loss;5-anonymity;RGR;0.3;0.35;5.0;30162.0;9.0;0.15421764189238168;4353.4;0.0;0.0;0.007603212619579566;0.007603212619579566
Adult;Loss;5-anonymity;RGR;0.3;0.4;5.0;30162.0;9.0;0.18526264785830918;4678.0;0.0;0.0;0.00541667634573173;0.00541667634573173
Adult;Loss;5-anonymity;RGR;0.3;0.45;5.0;30162.0;9.0;0.21123855066316785;4495.2;3.0;9.946290033817386E-5;0.005406852061093394;0.005390511969890075
Adult;Loss;5-anonymity;RGR;0.3;0.5;5.0;30162.0;9.0;0.21310775428150958;4573.2;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;1.0;0.0;5.0;30162.0;9.0;0.09540384440797986;13756.0;2.0;6.630860022544923E-5;Infinity;0.027250536717768874
Adult;Loss;5-anonymity;RGR;1.0;0.05;5.0;30162.0;9.0;0.0988822035917359;13590.0;2.0;6.630860022544923E-5;0.021458836228248727;0.021442007446680712
Adult;Loss;5-anonymity;RGR;1.0;0.1;5.0;30162.0;9.0;0.10100515118344397;13832.6;2.0;6.630860022544923E-5;0.02005415740719579;Infinity
Adult;Loss;5-anonymity;RGR;1.0;0.15;5.0;30162.0;9.0;0.11629466462395448;12158.8;4.0;1.3261720045089847E-4;0.016095108722201643;0.01606358525657799
Adult;Loss;5-anonymity;RGR;1.0;0.2;5.0;30162.0;9.0;0.13687843973203018;10558.6;2.0;6.630860022544923E-5;0.009659623211166651;Infinity
