;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;Flash;0.05;0.0;5.0;30162.0;9.0;0.2925002644589774;2161.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.01;5.0;30162.0;9.0;0.2925002644589774;1531.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.02;5.0;30162.0;9.0;0.2925002644589774;1436.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.03;5.0;30162.0;9.0;0.2925002644589774;1494.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.04;5.0;30162.0;9.0;0.2925002644589774;1434.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.05;5.0;30162.0;9.0;0.2925002644589774;1436.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.060000000000000005;5.0;30162.0;9.0;0.2925002644589774;1486.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.07;5.0;30162.0;9.0;0.2925002644589774;1415.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.08;5.0;30162.0;9.0;0.2925002644589774;1460.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.09;5.0;30162.0;9.0;0.2925002644589774;1496.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.09999999999999999;5.0;30162.0;9.0;0.2925002644589774;1426.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
