;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;0.0;5.0;30162.0;9.0;0.2739245195979827;1630.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.01;5.0;30162.0;9.0;0.2739245195979827;1556.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.02;5.0;30162.0;9.0;0.2739245195979827;1541.8;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.03;5.0;30162.0;9.0;0.2739245195979827;1536.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.04;5.0;30162.0;9.0;0.2739245195979827;1544.8;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.05;5.0;30162.0;9.0;0.2739245195979827;1544.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.060000000000000005;5.0;30162.0;9.0;0.2739245195979827;1539.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.07;5.0;30162.0;9.0;0.2739245195979827;1549.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.08;5.0;30162.0;9.0;0.2739245195979827;1580.2;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.09;5.0;30162.0;9.0;0.2739245195979827;1580.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.09999999999999999;5.0;30162.0;9.0;0.2739245195979827;1515.2;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.10999999999999999;5.0;30162.0;9.0;0.2739245195979827;1649.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.11999999999999998;5.0;30162.0;9.0;0.2739245195979827;1581.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.12999999999999998;5.0;30162.0;9.0;0.2739245195979827;1570.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.13999999999999999;5.0;30162.0;9.0;0.2739245195979827;1572.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.15;5.0;30162.0;9.0;0.2739245195979827;1571.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.16;5.0;30162.0;9.0;0.2739245195979827;1568.8;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.17;5.0;30162.0;9.0;0.2739245195979827;1565.8;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.18000000000000002;5.0;30162.0;9.0;0.2739245195979827;1546.2;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.19000000000000003;5.0;30162.0;9.0;0.2739245195979827;1537.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.20000000000000004;5.0;30162.0;9.0;0.2739245195979827;1544.2;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.21000000000000005;5.0;30162.0;9.0;0.2739245195979827;1543.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.22000000000000006;5.0;30162.0;9.0;0.2739245195979827;1554.2;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.23000000000000007;5.0;30162.0;9.0;0.2739245195979827;1559.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.24000000000000007;5.0;30162.0;9.0;0.2739245195979827;1542.8;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.25000000000000006;5.0;30162.0;9.0;0.2739245195979827;1575.8;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.26000000000000006;5.0;30162.0;9.0;0.2739245195979827;1551.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.2700000000000001;5.0;30162.0;9.0;0.2739245195979827;1564.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.2800000000000001;5.0;30162.0;9.0;0.2739245195979827;1572.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.2900000000000001;5.0;30162.0;9.0;0.2739245195979827;1575.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.3000000000000001;5.0;30162.0;9.0;0.2739245195979827;1592.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.3100000000000001;5.0;30162.0;9.0;0.2739245195979827;1585.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.3200000000000001;5.0;30162.0;9.0;0.2739245195979827;1592.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.3300000000000001;5.0;30162.0;9.0;0.2739245195979827;1556.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.34000000000000014;5.0;30162.0;9.0;0.2739245195979827;1552.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.35000000000000014;5.0;30162.0;9.0;0.2739245195979827;1545.8;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.36000000000000015;5.0;30162.0;9.0;0.2739245195979827;1551.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.37000000000000016;5.0;30162.0;9.0;0.2739245195979827;1571.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.38000000000000017;5.0;30162.0;9.0;0.2739245195979827;1614.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.3900000000000002;5.0;30162.0;9.0;0.2739245195979827;1641.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.4000000000000002;5.0;30162.0;9.0;0.2739245195979827;1609.8;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.4100000000000002;5.0;30162.0;9.0;0.2739245195979827;1617.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.4200000000000002;5.0;30162.0;9.0;0.2739245195979827;1635.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.4300000000000002;5.0;30162.0;9.0;0.2739245195979827;1695.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.4400000000000002;5.0;30162.0;9.0;0.2739245195979827;1631.0;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.45000000000000023;5.0;30162.0;9.0;0.2739245195979827;1637.2;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.46000000000000024;5.0;30162.0;9.0;0.2739245195979827;1638.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
