;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Variance
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.02;5.0;30162.0;9.0;0.37102078565921204;2116.0;0.0033531875961091123
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;9.0;0.2739245195979827;1709.0;0.006747696151155163
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;9.0;0.21340347468849327;2463.0;0.008257951314342581
Adult;Loss;5-anonymity;RGR;1.0;5.0;30162.0;9.0;0.2131077542815096;7967.0;0.008198023526119789
Adult;Loss;5-anonymity;Flash;0.02;5.0;30162.0;9.0;0.37619606632154173;1334.0;0.007359515699668114
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;9.0;0.2925002644589774;1541.0;0.022718919398229228
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;9.0;0.25510998050475003;1984.0;0.04285250744201811
Adult;Loss;5-anonymity;Flash;1.0;5.0;30162.0;9.0;0.25510998050475003;5238.0;0.04285250744201811
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;30162.0;9.0;3.3930454914603514E-5;251473.0;0.047043304102902396
Adult;Discernibility;5-anonymity;RGR;0.02;5.0;30162.0;9.0;0.004331537291222646;1093.0;3.854536386522306E-4
Adult;Discernibility;5-anonymity;RGR;0.05;5.0;30162.0;9.0;0.004463606249102837;1813.0;3.7554379769836146E-4
Adult;Discernibility;5-anonymity;RGR;0.1;5.0;30162.0;9.0;0.004330719377021313;2745.0;2.817047217179827E-4
Adult;Discernibility;5-anonymity;RGR;1.0;5.0;30162.0;9.0;0.004363865789769125;6110.0;2.9551763942209803E-4
Adult;Discernibility;5-anonymity;Flash;0.02;5.0;30162.0;9.0;0.0078110509403538685;969.0;8.672706869675187E-4
Adult;Discernibility;5-anonymity;Flash;0.05;5.0;30162.0;9.0;0.0078110509403538685;1703.0;8.672706869675187E-4
Adult;Discernibility;5-anonymity;Flash;0.1;5.0;30162.0;9.0;0.0078110509403538685;2699.0;8.672706869675187E-4
Adult;Discernibility;5-anonymity;Flash;1.0;5.0;30162.0;9.0;0.0078110509403538685;5879.0;8.672706869675187E-4
Adult;Discernibility;5-anonymity;Tassa & Goldberger;0.0;5.0;30162.0;9.0;0.09073012190740731;248981.0;0.047134442948231145
