;;;;;;K;Records;QIs;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;0.05;5.0;30162.0;9.0;0.2739245195979827;1313.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.05;5.0;30162.0;9.0;0.2739245195979827;1282.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.05;5.0;30162.0;9.0;0.2739245195979827;1278.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.05;5.0;30162.0;9.0;0.2739245195979827;1279.2;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.05;0.05;5.0;30162.0;9.0;0.2739245195979827;1279.6;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.1;0.05;5.0;30162.0;9.0;0.21287477333271604;1358.6;2.0;6.630860022544923E-5;0.006044340852916171;0.006033565748449684
Adult;Loss;5-anonymity;RGR;0.1;0.05;5.0;30162.0;9.0;0.21287477333271604;1352.6;2.0;6.630860022544923E-5;0.006044340852916171;0.006033565748449684
Adult;Loss;5-anonymity;RGR;0.1;0.05;5.0;30162.0;9.0;0.21287477333271604;1360.0;2.0;6.630860022544923E-5;0.006044340852916171;0.006033565748449684
Adult;Loss;5-anonymity;RGR;0.1;0.05;5.0;30162.0;9.0;0.21287477333271604;1355.6;2.0;6.630860022544923E-5;0.006044340852916171;0.006033565748449684
Adult;Loss;5-anonymity;RGR;0.1;0.05;5.0;30162.0;9.0;0.21287477333271604;1355.8;2.0;6.630860022544923E-5;0.006044340852916171;0.006033565748449684
Adult;Loss;5-anonymity;RGR;0.2;0.05;5.0;30162.0;9.0;0.14355218423448368;1310.8;1.0;3.315430011272462E-5;0.011296116524283717;0.011288640994857192
Adult;Loss;5-anonymity;RGR;0.2;0.05;5.0;30162.0;9.0;0.14355218423448368;1311.0;1.0;3.315430011272462E-5;0.011296116524283717;0.011288640994857192
Adult;Loss;5-anonymity;RGR;0.2;0.05;5.0;30162.0;9.0;0.14355218423448368;1311.6;1.0;3.315430011272462E-5;0.011296116524283717;0.011288640994857192
Adult;Loss;5-anonymity;RGR;0.2;0.05;5.0;30162.0;9.0;0.14355218423448368;1304.0;1.0;3.315430011272462E-5;0.011296116524283717;0.011288640994857192
Adult;Loss;5-anonymity;RGR;0.2;0.05;5.0;30162.0;9.0;0.14355218423448368;1295.8;1.0;3.315430011272462E-5;0.011296116524283717;0.011288640994857192
Adult;Loss;5-anonymity;RGR;0.3;0.05;5.0;30162.0;9.0;0.12311133116657018;1499.2;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.3;0.05;5.0;30162.0;9.0;0.12311133116657018;1500.4;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.3;0.05;5.0;30162.0;9.0;0.12311133116657018;1495.6;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.3;0.05;5.0;30162.0;9.0;0.12311133116657018;1491.8;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.3;0.05;5.0;30162.0;9.0;0.12311133116657018;1493.0;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.999;0.05;5.0;30162.0;9.0;0.06864458527388181;250287.4;4.0;1.3261720045089847E-4;0.014054361210381212;0.014015319484781685
Adult;Loss;5-anonymity;RGR;0.999;0.05;5.0;30162.0;9.0;0.06864458527388181;249050.6;4.0;1.3261720045089847E-4;0.014054361210381212;0.014015319484781685
Adult;Loss;5-anonymity;RGR;0.999;0.05;5.0;30162.0;9.0;0.06864458527388181;250025.4;4.0;1.3261720045089847E-4;0.014054361210381212;0.014015319484781685
Adult;Loss;5-anonymity;RGR;0.999;0.05;5.0;30162.0;9.0;0.06864458527388181;251339.8;4.0;1.3261720045089847E-4;0.014054361210381212;0.014015319484781685
Adult;Loss;5-anonymity;RGR;0.999;0.05;5.0;30162.0;9.0;0.06864458527388181;252126.8;4.0;1.3261720045089847E-4;0.014054361210381212;0.014015319484781685
Cup;Loss;5-anonymity;RGR;0.05;0.05;5.0;63441.0;8.0;0.12410355266152488;8153.0;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.05;5.0;63441.0;8.0;0.12410355266152488;8015.8;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.05;5.0;63441.0;8.0;0.12410355266152488;8088.4;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.05;5.0;63441.0;8.0;0.12410355266152488;8054.4;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.05;5.0;63441.0;8.0;0.12410355266152488;8019.0;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.1;0.05;5.0;63441.0;8.0;0.11301330892078014;8034.4;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.05;5.0;63441.0;8.0;0.11301330892078014;8064.6;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.05;5.0;63441.0;8.0;0.11301330892078014;7988.4;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.05;5.0;63441.0;8.0;0.11301330892078014;8064.0;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.05;5.0;63441.0;8.0;0.11301330892078014;8043.0;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.2;0.05;5.0;63441.0;8.0;0.10142800868236783;8695.6;5.0;7.881338566542141E-5;0.003390436724254555;0.0033699655885475513
Cup;Loss;5-anonymity;RGR;0.2;0.05;5.0;63441.0;8.0;0.10142800868236783;8754.4;5.0;7.881338566542141E-5;0.003390436724254555;0.0033699655885475513
Cup;Loss;5-anonymity;RGR;0.2;0.05;5.0;63441.0;8.0;0.10142800868236783;8832.8;5.0;7.881338566542141E-5;0.003390436724254555;0.0033699655885475513
Cup;Loss;5-anonymity;RGR;0.2;0.05;5.0;63441.0;8.0;0.10142800868236783;8765.6;5.0;7.881338566542141E-5;0.003390436724254555;0.0033699655885475513
Cup;Loss;5-anonymity;RGR;0.2;0.05;5.0;63441.0;8.0;0.10142800868236783;8708.6;5.0;7.881338566542141E-5;0.003390436724254555;0.0033699655885475513
Cup;Loss;5-anonymity;RGR;0.3;0.05;5.0;63441.0;8.0;0.09251218673254936;10401.2;1.0;1.5762677133084283E-5;0.005512470293507114;0.005508345972646556
Cup;Loss;5-anonymity;RGR;0.3;0.05;5.0;63441.0;8.0;0.09251218673254936;10355.4;1.0;1.5762677133084283E-5;0.005512470293507114;0.005508345972646556
Cup;Loss;5-anonymity;RGR;0.3;0.05;5.0;63441.0;8.0;0.09251218673254936;10402.8;1.0;1.5762677133084283E-5;0.005512470293507114;0.005508345972646556
Cup;Loss;5-anonymity;RGR;0.3;0.05;5.0;63441.0;8.0;0.09251218673254936;10486.4;1.0;1.5762677133084283E-5;0.005512470293507114;0.005508345972646556
Cup;Loss;5-anonymity;RGR;0.3;0.05;5.0;63441.0;8.0;0.09251218673254936;10446.6;1.0;1.5762677133084283E-5;0.005512470293507114;0.005508345972646556
Cup;Loss;5-anonymity;RGR;0.999;0.05;5.0;63441.0;8.0;0.08872878809055286;99494.0;1.0;1.5762677133084283E-5;0.0037990754467740477;0.0037948683326498468
Cup;Loss;5-anonymity;RGR;0.999;0.05;5.0;63441.0;8.0;0.08872878809055286;99815.2;1.0;1.5762677133084283E-5;0.0037990754467740477;0.0037948683326498468
Cup;Loss;5-anonymity;RGR;0.999;0.05;5.0;63441.0;8.0;0.08872878809055286;99661.6;1.0;1.5762677133084283E-5;0.0037990754467740477;0.0037948683326498468
Cup;Loss;5-anonymity;RGR;0.999;0.05;5.0;63441.0;8.0;0.08872878809055286;99481.4;1.0;1.5762677133084283E-5;0.0037990754467740477;0.0037948683326498468
Cup;Loss;5-anonymity;RGR;0.999;0.05;5.0;63441.0;8.0;0.08872878809055286;99927.6;1.0;1.5762677133084283E-5;0.0037990754467740477;0.0037948683326498468
Atus;Loss;5-anonymity;RGR;0.05;0.05;5.0;539253.0;9.0;0.0693535662306306;13217.4;0.0;0.0;0.009065437561411684;0.009065437561411684
Atus;Loss;5-anonymity;RGR;0.05;0.05;5.0;539253.0;9.0;0.0693535662306306;13080.2;0.0;0.0;0.009065437561411684;0.009065437561411684
Atus;Loss;5-anonymity;RGR;0.05;0.05;5.0;539253.0;9.0;0.0693535662306306;13267.0;0.0;0.0;0.009065437561411684;0.009065437561411684
Atus;Loss;5-anonymity;RGR;0.05;0.05;5.0;539253.0;9.0;0.0693535662306306;13182.6;0.0;0.0;0.009065437561411684;0.009065437561411684
Atus;Loss;5-anonymity;RGR;0.05;0.05;5.0;539253.0;9.0;0.0693535662306306;13116.4;0.0;0.0;0.009065437561411684;0.009065437561411684
Atus;Loss;5-anonymity;RGR;0.1;0.05;5.0;539253.0;9.0;0.04222571427798364;15668.8;0.0;0.0;0.0158254471734084;0.0158254471734084
Atus;Loss;5-anonymity;RGR;0.1;0.05;5.0;539253.0;9.0;0.04222571427798364;13719.4;0.0;0.0;0.0158254471734084;0.0158254471734084
Atus;Loss;5-anonymity;RGR;0.1;0.05;5.0;539253.0;9.0;0.04222571427798364;15480.8;0.0;0.0;0.0158254471734084;0.0158254471734084
Atus;Loss;5-anonymity;RGR;0.1;0.05;5.0;539253.0;9.0;0.04222571427798364;15422.6;0.0;0.0;0.0158254471734084;0.0158254471734084
Atus;Loss;5-anonymity;RGR;0.1;0.05;5.0;539253.0;9.0;0.04222571427798364;15472.6;0.0;0.0;0.0158254471734084;0.0158254471734084
Atus;Loss;5-anonymity;RGR;0.2;0.05;5.0;539253.0;9.0;0.027370180661568426;14021.2;2.0;3.7088342577602722E-6;0.01857098365657171;0.01856985550599738
Atus;Loss;5-anonymity;RGR;0.2;0.05;5.0;539253.0;9.0;0.027370180661568426;14652.4;2.0;3.7088342577602722E-6;0.01857098365657171;0.01856985550599738
Atus;Loss;5-anonymity;RGR;0.2;0.05;5.0;539253.0;9.0;0.027370180661568426;14526.4;2.0;3.7088342577602722E-6;0.01857098365657171;0.01856985550599738
Atus;Loss;5-anonymity;RGR;0.2;0.05;5.0;539253.0;9.0;0.027370180661568426;14443.6;2.0;3.7088342577602722E-6;0.01857098365657171;0.01856985550599738
Atus;Loss;5-anonymity;RGR;0.2;0.05;5.0;539253.0;9.0;0.027370180661568426;14534.0;2.0;3.7088342577602722E-6;0.01857098365657171;0.01856985550599738
Atus;Loss;5-anonymity;RGR;0.3;0.05;5.0;539253.0;9.0;0.02374655380777644;16187.0;2.0;3.7088342577602722E-6;0.017463144573064516;0.017461996839532642
Atus;Loss;5-anonymity;RGR;0.3;0.05;5.0;539253.0;9.0;0.02374655380777644;16791.0;2.0;3.7088342577602722E-6;0.017463144573064516;0.017461996839532642
Atus;Loss;5-anonymity;RGR;0.3;0.05;5.0;539253.0;9.0;0.02374655380777644;16818.2;2.0;3.7088342577602722E-6;0.017463144573064516;0.017461996839532642
Atus;Loss;5-anonymity;RGR;0.3;0.05;5.0;539253.0;9.0;0.02374655380777644;16732.6;2.0;3.7088342577602722E-6;0.017463144573064516;0.017461996839532642
Atus;Loss;5-anonymity;RGR;0.3;0.05;5.0;539253.0;9.0;0.02374655380777644;16359.0;2.0;3.7088342577602722E-6;0.017463144573064516;0.017461996839532642
Atus;Loss;5-anonymity;RGR;0.999;0.05;5.0;539253.0;9.0;0.015479396439216992;5007537.6;1.0;1.8544171288801361E-6;0.014608875266225221;0.014608277710773403
Atus;Loss;5-anonymity;RGR;0.999;0.05;5.0;539253.0;9.0;0.015479396439216992;4995223.0;1.0;1.8544171288801361E-6;0.014608875266225221;0.014608277710773403
Atus;Loss;5-anonymity;RGR;0.999;0.05;5.0;539253.0;9.0;0.015479396439216992;5015855.6;1.0;1.8544171288801361E-6;0.014608875266225221;0.014608277710773403
Atus;Loss;5-anonymity;RGR;0.999;0.05;5.0;539253.0;9.0;0.015479396439216992;4954700.8;1.0;1.8544171288801361E-6;0.014608875266225221;0.014608277710773403
