;;;;;;K;Records;QIs;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.0;0.0;5.0;30162.0;9.0;0.6863968470754812;116.6;0.0;0.0;2.143016179725453E-26;2.143016179725453E-26
Adult;Loss;5-anonymity;RGR;0.01;0.0;5.0;30162.0;9.0;0.4204501629265149;1168.0;0.0;0.0;2.2909443061995172E-4;2.2909443061995172E-4
Adult;Loss;5-anonymity;RGR;0.02;0.0;5.0;30162.0;9.0;0.37102078565921204;1437.2;0.0;0.0;0.0011515298241187352;0.0011515298241187352
Adult;Loss;5-anonymity;RGR;0.05;0.0;5.0;30162.0;9.0;0.2739245195979827;1619.4;3.0;9.946290033817386E-5;0.0029650788997611717;0.0029491897948161435
Adult;Loss;5-anonymity;RGR;0.07;0.0;5.0;30162.0;9.0;0.2575879594535298;1622.0;0.0;0.0;0.004235534719170923;0.004235534719170923
Adult;Loss;5-anonymity;RGR;0.1;0.0;5.0;30162.0;9.0;0.21287477333271604;1638.4;2.0;6.630860022544923E-5;0.006044340852916171;0.006033565748449684
Adult;Loss;5-anonymity;RGR;0.2;0.0;5.0;30162.0;9.0;0.14355218423448368;1389.6;1.0;3.315430011272462E-5;0.011296116524283717;0.011288640994857192
Adult;Loss;5-anonymity;RGR;0.3;0.0;5.0;30162.0;9.0;0.12311133116657018;1431.4;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.4;0.0;5.0;30162.0;9.0;0.10580500696781119;1475.2;4.0;1.3261720045089847E-4;0.02095547630603847;0.020922157306592574
Adult;Loss;5-anonymity;RGR;0.5;0.0;5.0;30162.0;9.0;0.09186043782732524;1861.6;6.0;1.9892580067634773E-4;0.01805939707423644;0.01800653337879144
Adult;Loss;5-anonymity;RGR;0.6;0.0;5.0;30162.0;9.0;0.08720414397098006;1971.8;3.0;9.946290033817386E-5;0.021305137275841136;0.021278137205166178
Adult;Loss;5-anonymity;RGR;0.7;0.0;5.0;30162.0;9.0;0.08184650220322216;2495.6;1.0;3.315430011272462E-5;0.020366269218916475;0.020357211447995863
Adult;Loss;5-anonymity;RGR;0.8;0.0;5.0;30162.0;9.0;0.07697853676213261;3532.8;0.0;0.0;0.02333847262863955;0.02333847262863955
Adult;Loss;5-anonymity;RGR;0.85;0.0;5.0;30162.0;9.0;0.07411409890331246;4584.8;4.0;1.3261720045089847E-4;0.022403320792235563;0.02236556141643757
Adult;Loss;5-anonymity;RGR;0.9;0.0;5.0;30162.0;9.0;0.07099277725136234;6234.6;2.0;6.630860022544923E-5;0.020903407217436464;0.020884078608180135
Adult;Loss;5-anonymity;RGR;0.93;0.0;5.0;30162.0;9.0;0.06895852474738096;8320.2;1.0;3.315430011272462E-5;0.020447847632152558;0.02043811167278406
Adult;Loss;5-anonymity;RGR;0.95;0.0;5.0;30162.0;9.0;0.06728732202867793;10741.6;4.0;1.3261720045089847E-4;0.019889944268089703;0.019850716141781955
Adult;Loss;5-anonymity;RGR;0.97;0.0;5.0;30162.0;9.0;0.06621145677039397;16161.6;4.0;1.3261720045089847E-4;0.01973328918023616;0.019693775114949724
Adult;Loss;5-anonymity;RGR;0.99;0.0;5.0;30162.0;9.0;0.06428414596063142;29976.2;3.0;9.946290033817386E-5;0.019172533653021604;0.01914254809230215
Adult;Loss;5-anonymity;RGR;0.999;0.0;5.0;30162.0;9.0;0.0636195236770224;60621.8;1.0;3.315430011272462E-5;0.019123991362799193;0.019113944976822825
