;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;Flash;0.0;0.1;5.0;30162.0;9.0;0.6863968470754812;137.0;0.0;0.0;2.143016179725453E-26;2.143016179725453E-26
Adult;Loss;5-anonymity;Flash;0.0;0.5;5.0;30162.0;9.0;0.6863968470754812;87.0;0.0;0.0;2.143016179725453E-26;2.143016179725453E-26
Adult;Loss;5-anonymity;Flash;0.01;0.1;5.0;30162.0;9.0;0.42340169831611335;1183.0;294.0;0.00974736423314104;0.0010036659775792944;1.3899931158646173E-27
Adult;Loss;5-anonymity;Flash;0.01;0.5;5.0;30162.0;9.0;0.42340169831611335;1120.3333333333333;294.0;0.00974736423314104;0.0010036659775792944;1.3899931158646173E-27
Adult;Loss;5-anonymity;Flash;0.02;0.1;5.0;30162.0;9.0;0.37619606632154173;1301.3333333333333;554.0;0.018367482262449438;0.002153040925673038;1.7059370442188176E-27
Adult;Loss;5-anonymity;Flash;0.02;0.5;5.0;30162.0;9.0;0.37619606632154173;1370.3333333333333;554.0;0.018367482262449438;0.002153040925673038;1.7059370442188176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.1;5.0;30162.0;9.0;0.2925002644589774;1451.6666666666667;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;9.0;0.2925002644589774;1487.6666666666667;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.1;0.1;5.0;30162.0;9.0;0.25510998050475003;1352.3333333333333;2584.0;0.08567071149128042;0.014189075665854593;6.985861831998554E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;9.0;0.25510998050475003;2069.3333333333335;2584.0;0.08567071149128042;0.014189075665854593;6.985861831998554E-27
Adult;Loss;5-anonymity;Flash;0.2;0.1;5.0;30162.0;9.0;0.26968835507480593;1136.0;5898.0;0.1955440620648498;0.043424384818510034;8.157438057567466E-27
Adult;Loss;5-anonymity;Flash;0.2;0.5;5.0;30162.0;9.0;0.25510998050475003;3195.0;2584.0;0.08567071149128042;0.014189075665854593;6.985861831998554E-27
Adult;Loss;5-anonymity;Flash;0.4;0.1;5.0;30162.0;9.0;0.39180963697462623;1358.0;11182.0;0.3707313838604867;0.08114014761692658;4.897348476775377E-27
Adult;Loss;5-anonymity;Flash;0.4;0.5;5.0;30162.0;9.0;0.25510998050475003;5134.333333333333;2584.0;0.08567071149128042;0.014189075665854593;6.985861831998554E-27
Adult;Loss;5-anonymity;Flash;0.6;0.1;5.0;30162.0;9.0;0.39180963697462623;1375.0;11182.0;0.3707313838604867;0.08114014761692658;4.897348476775377E-27
Adult;Loss;5-anonymity;Flash;0.6;0.5;5.0;30162.0;9.0;0.25510998050475003;6133.666666666667;2584.0;0.08567071149128042;0.014189075665854593;6.985861831998554E-27
Adult;Loss;5-anonymity;Flash;0.8;0.1;5.0;30162.0;9.0;0.39180963697462623;1528.0;11182.0;0.3707313838604867;0.08114014761692658;4.897348476775377E-27
Adult;Loss;5-anonymity;Flash;0.8;0.5;5.0;30162.0;9.0;0.25510998050475003;5958.666666666667;2584.0;0.08567071149128042;0.014189075665854593;6.985861831998554E-27
Adult;Loss;5-anonymity;Flash;0.95;0.1;5.0;30162.0;9.0;0.39180963697462623;1479.0;11182.0;0.3707313838604867;0.08114014761692658;4.897348476775377E-27
Adult;Loss;5-anonymity;Flash;0.95;0.5;5.0;30162.0;9.0;0.25510998050475003;5957.666666666667;2584.0;0.08567071149128042;0.014189075665854593;6.985861831998554E-27
Adult;Loss;5-anonymity;Flash;0.97;0.1;5.0;30162.0;9.0;0.39180963697462623;1472.0;11182.0;0.3707313838604867;0.08114014761692658;4.897348476775377E-27
Adult;Loss;5-anonymity;Flash;0.97;0.5;5.0;30162.0;9.0;0.25510998050475003;5993.666666666667;2584.0;0.08567071149128042;0.014189075665854593;6.985861831998554E-27
Adult;Loss;5-anonymity;Flash;0.99;0.1;5.0;30162.0;9.0;0.39180963697462623;1494.3333333333333;11182.0;0.3707313838604867;0.08114014761692658;4.897348476775377E-27
Adult;Loss;5-anonymity;Flash;0.99;0.5;5.0;30162.0;9.0;0.25510998050475003;6100.333333333333;2584.0;0.08567071149128042;0.014189075665854593;6.985861831998554E-27
Adult;Loss;5-anonymity;Flash;1.0;0.1;5.0;30162.0;9.0;0.39180963697462623;1506.3333333333333;11182.0;0.3707313838604867;0.08114014761692658;4.897348476775377E-27
Adult;Loss;5-anonymity;Flash;1.0;0.5;5.0;30162.0;9.0;0.25510998050475003;5979.0;2584.0;0.08567071149128042;0.014189075665854593;6.985861831998554E-27
