;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Variance
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value
Adult;Loss;10-anonymity;RGR;0.05;10.0;30162.0;9.0;0.3279955017685254;1536.0;0.007109585618140792
Adult;Loss;10-anonymity;RGR;0.1;10.0;30162.0;9.0;0.2671190498438023;2048.2;0.006730051506809973
Adult;Loss;10-anonymity;Flash;0.05;10.0;30162.0;9.0;0.34562306001411075;1363.8;0.02061556332202271
Adult;Loss;10-anonymity;Flash;0.1;10.0;30162.0;9.0;0.30304863488816813;1782.2;0.037239574372543646
Adult;Loss;10-anonymity;Tassa & Goldberger;0.0;10.0;30163.0;9.0;3.3930454914603514E-5;115370.0;0.06266576015227482
Adult;Loss;25-anonymity;RGR;0.05;25.0;30162.0;9.0;0.425274928528981;1144.2;0.006614324679696745
Adult;Loss;25-anonymity;RGR;0.1;25.0;30162.0;9.0;0.34366627698962005;1640.8;0.0067787799503851885
Adult;Loss;25-anonymity;Flash;0.05;25.0;30162.0;9.0;0.4381663882476645;1070.2;0.01827765896168533
Adult;Loss;25-anonymity;Flash;0.1;25.0;30162.0;9.0;0.37309198701848406;1523.4;0.03505654318222644
Adult;Loss;25-anonymity;Tassa & Goldberger;0.0;25.0;30163.0;9.0;3.3930454914603514E-5;54830.0;0.08876551949784758
Adult;Loss;50-anonymity;RGR;0.05;50.0;30162.0;9.0;0.4953344544125976;860.0;0.007665277166135913
Adult;Loss;50-anonymity;RGR;0.1;50.0;30162.0;9.0;0.4133312323086077;1275.0;0.016321022821256675
Adult;Loss;50-anonymity;Flash;0.05;50.0;30162.0;9.0;0.5028728976415537;808.2;0.01437239468650484
Adult;Loss;50-anonymity;Flash;0.1;50.0;30162.0;9.0;0.43847434012765574;1191.0;0.03512404596296293
Adult;Loss;50-anonymity;Tassa & Goldberger;0.0;50.0;30163.0;9.0;3.3930454914603514E-5;30367.4;0.10533872794836384
