;;;;;Utility;Variance;Runtime
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.5;0.4105428866463436;0.0;573.8
Adult;Loss;5-anonymity;RGR;0.5;0.3333743275899342;0.0;878.8
Adult;Loss;5-anonymity;RGR;0.5;0.32833045715865095;0.0;1128.4
Adult;Loss;5-anonymity;RGR;0.5;0.31488244265567555;0.0;1411.2
Adult;Loss;5-anonymity;RGR;0.5;0.30379314974464117;0.0;1663.6
Adult;Loss;5-anonymity;RGR;0.5;0.2988448736721125;0.0;1854.6
Adult;Loss;5-anonymity;RGR;0.5;0.2966296317692679;0.0;1983.4
Adult;Loss;5-anonymity;RGR;0.5;0.29354259079904477;0.0;2254.2
Adult;Loss;5-anonymity;RGR;0.5;0.29115778214069854;0.0;2404.2
Adult;Loss;5-anonymity;RGR;0.5;0.287920232605156;0.0;2612.4
Adult;Loss;5-anonymity;RGR;0.5;0.2884123455187139;0.0;2863.4
Adult;Loss;5-anonymity;RGR;0.5;0.23482660761861154;0.0;3257.6
Adult;Loss;5-anonymity;RGR;0.5;0.2308766617488835;7.703719777548943E-34;3412.2
Adult;Loss;5-anonymity;RGR;0.5;0.22951471294328477;0.0;3524.6
Adult;Loss;5-anonymity;RGR;0.5;0.22786754015179014;0.0;3697.8
Adult;Loss;5-anonymity;RGR;0.5;0.22655377196074614;0.0;3803.2
Adult;Loss;5-anonymity;RGR;0.5;0.22543227127427098;0.0;3965.2
Adult;Loss;5-anonymity;RGR;0.5;0.22410523600777948;7.703719777548943E-34;4133.2
Adult;Loss;5-anonymity;RGR;0.5;0.22252786756866644;0.0;4301.2
Adult;Loss;5-anonymity;RGR;0.5;0.2209317921439294;0.0;4351.2
Adult;Loss;5-anonymity;RGR;0.5;0.2205152079429707;7.703719777548943E-34;4413.8
Adult;Loss;5-anonymity;RGR;0.5;0.21938178538465886;0.0;4519.2
Adult;Loss;5-anonymity;RGR;0.5;0.2187702519487837;0.0;4658.4
Adult;Loss;5-anonymity;RGR;0.5;0.21808281768653054;7.703719777548943E-34;4776.6
Adult;Loss;5-anonymity;RGR;0.5;0.21737800676890778;7.703719777548943E-34;4977.8
Adult;Loss;5-anonymity;RGR;0.5;0.2165573401851061;0.0;5096.6
Adult;Loss;5-anonymity;RGR;0.5;0.2169961023224875;7.703719777548943E-34;5330.6
Adult;Loss;5-anonymity;RGR;0.5;0.21601931514261033;7.703719777548943E-34;5437.8
Adult;Loss;5-anonymity;RGR;0.5;0.21523023300082236;0.0;5574.8
Adult;Loss;5-anonymity;RGR;0.5;0.2131640803637346;0.0;5613.8
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.22465386567823314;6.801870584811333E-6;191.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.1816182847842606;6.181123890456734E-6;669.6
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.16372644184477528;7.446692737748307E-7;1299.6
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.14502804903760413;9.971393686121755E-7;2974.6
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.13342762733163713;9.54218053910762E-7;4714.6
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.12539204329705217;4.244389673534486E-7;6638.6
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.12004685936522685;2.776713646925391E-7;8699.6
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.1139305208408991;3.467779354898751E-7;11881.6
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.10957009799767152;1.991444254788056E-7;15015.8
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.1053733090329351;1.011549520271178E-7;18695.6
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.10126367908765221;1.745333211784175E-7;22393.4
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.09804296250151037;1.2675248969250552E-7;27015.8
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.09482889915608499;1.97947536341832E-8;32198.2
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.09291570334894718;2.414800613609874E-7;37715.4
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.09054780632834421;1.1745310026108699E-8;43847.4
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.08847774936101047;2.0648698178816347E-7;50947.2
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.08632242775232463;6.036160666031889E-8;59351.6
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.08484340285063473;6.33402675339094E-8;67681.2
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.08335098548371886;5.723590416330211E-8;77402.2
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.08113778663066924;5.778024341646646E-8;87083.4
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.07973348733286835;4.693717157118561E-8;97752.4
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.07850489486878012;2.762279236860731E-8;112701.8
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.07733115467608645;1.7804389210941323E-8;124452.2
