;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;30162;9;0.2186907481;1287.0;3.0;9.94629E-5;4.645817E-4;4.576283E-4;4.0
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;30162;9;0.1713235718;1313.0;2.0;6.63086E-5;8.024676E-4;7.978648E-4;5.0
Adult;Loss;5-anonymity;RGR;0.2;0.0;0.05;5;30162;9;0.1148707606;1191.0;1.0;3.31543E-5;9.930131E-4;9.905652E-4;7.0
Adult;Loss;5-anonymity;RGR;0.3;0.0;0.05;5;30162;9;0.0981007287;1187.0;3.0;9.94629E-5;0.0013189532;0.0013114476;8.0
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;30162;9;0.0540518271;9737.0;4.0;1.326172E-4;9.272266E-4;9.168787E-4;96.0
Adult;Loss;5-anonymity;RGR;0.99999;0.0;0.05;5;30162;9;0.0517274163;57547.0;4.0;1.326172E-4;0.0010457917;0.0010354722;487.0
Cup;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;63441;8;0.1153231017;8200.0;5.0;7.88134E-5;1.32508E-5;1.2171E-5;4.0
Cup;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;63441;8;0.1058127616;8637.0;3.0;4.7288E-5;1.745713E-4;1.73962E-4;5.0
Cup;Loss;5-anonymity;RGR;0.2;0.0;0.05;5;63441;8;0.0945010716;9590.0;2.0;3.15254E-5;4.105793E-4;4.102153E-4;7.0
Cup;Loss;5-anonymity;RGR;0.3;0.0;0.05;5;63441;8;0.0872289735;9716.0;1.0;1.57627E-5;4.310546E-4;4.308582E-4;9.0
Cup;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;63441;8;0.0694123793;57949.0;2.0;3.15254E-5;2.175416E-4;2.171361E-4;83.0
Cup;Loss;5-anonymity;RGR;0.99999;0.0;0.05;5;63441;8;0.0681230644;241020.0;1.0;1.57627E-5;2.204551E-4;2.202524E-4;273.0
Fars;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;100937;8;0.1235613487;3878.0;10.0;9.90717E-5;6.52867E-5;6.25167E-5;7.0
Fars;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;100937;8;0.0994296895;3781.0;0.0;0.0;2.368023E-4;2.368023E-4;8.0
Fars;Loss;5-anonymity;RGR;0.2;0.0;0.05;5;100937;8;0.0850966717;4039.0;1.0;9.9072E-6;1.978361E-4;1.975341E-4;10.0
Fars;Loss;5-anonymity;RGR;0.3;0.0;0.05;5;100937;8;0.0724560676;4226.0;4.0;3.96287E-5;2.493824E-4;2.481921E-4;14.0
Fars;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;100937;8;0.037539333;21925.0;4.0;3.96287E-5;2.371843E-4;2.359522E-4;111.0
Fars;Loss;5-anonymity;RGR;0.99999;0.0;0.05;5;100937;8;0.0365312806;128481.0;0.0;0.0;2.755935E-4;2.755935E-4;522.0
Atus;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;539253;9;0.0581505981;13564.0;0.0;0.0;0.0012178962;0.0012178962;10.0
Atus;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;539253;9;0.0367084821;15599.0;0.0;0.0;0.002024534;0.002024534;13.0
Atus;Loss;5-anonymity;RGR;0.2;0.0;0.05;5;539253;9;0.0239811833;12993.0;2.0;3.7088E-6;0.0014972007;0.00149697;21.0
Atus;Loss;5-anonymity;RGR;0.3;0.0;0.05;5;539253;9;0.0209701706;12324.0;3.0;5.5633E-6;0.0015096741;0.0015093294;28.0
Atus;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;539253;9;0.0123430025;81193.0;3.0;5.5633E-6;0.001315849;0.0013154958;308.0
Atus;Loss;5-anonymity;RGR;0.99999;0.0;0.05;5;539253;9;0.0113917174;1016520.0;5.0;9.2721E-6;0.0013352881;0.0013347002;1470.0
Ihis;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;1193504;9;0.0992592388;60146.0;1.0;8.379E-7;2.88185E-5;2.87475E-5;5.0
Ihis;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;1193504;9;0.0573919245;59647.0;0.0;0.0;1.115731E-4;1.115731E-4;5.0
Ihis;Loss;5-anonymity;RGR;0.2;0.0;0.05;5;1193504;9;0.0425418132;55214.0;1.0;8.379E-7;2.671203E-4;2.670469E-4;9.0
Ihis;Loss;5-anonymity;RGR;0.3;0.0;0.05;5;1193504;9;0.0366528673;60443.0;2.0;1.6757E-6;2.219561E-4;2.218091E-4;10.0
Ihis;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;1193504;9;0.0219000321;304105.0;0.0;0.0;3.056432E-4;3.056432E-4;136.0
Ihis;Loss;5-anonymity;RGR;0.99999;0.0;0.05;5;1193504;9;0.020896056;2765135.0;0.0;0.0;5.108747E-4;5.108747E-4;1449.0
Adult;Loss;5-anonymity;Flash;1.0;0.5;0.0;5;30162;9;0.2212867446;4586.0;2584.0;0.0856707115;0.0056308049;0.0;2.0
Cup;Loss;5-anonymity;Flash;1.0;0.5;0.0;5;63441;8;0.139689361;55627.0;2578.0;0.0406361816;5.359524E-4;0.0;2.0
Fars;Loss;5-anonymity;Flash;1.0;0.5;0.0;5;100937;8;0.1528537804;15784.0;6438.0;0.0637823593;0.0016937787;1.0134E-6;4.0
Atus;Loss;5-anonymity;Flash;1.0;0.5;0.0;5;539253;9;0.0869412567;14698.0;24177.0;0.0448342429;0.0037389537;0.0010511741;8.0
Ihis;Loss;5-anonymity;Flash;1.0;0.5;0.0;5;1193504;9;0.1288360138;211116.0;84659.0;0.0709331515;0.0058136342;0.0;2.0
Adult;Loss;10-anonymity;RGR;0.05;0.0;0.05;10;30162;9;0.2704078676;1271.0;0.0;0.0;3.236835E-4;3.236835E-4;3.0
Adult;Loss;10-anonymity;RGR;0.1;0.0;0.05;10;30162;9;0.2125316729;1300.0;0.0;0.0;4.498509E-4;4.498509E-4;4.0
Adult;Loss;10-anonymity;RGR;0.2;0.0;0.05;10;30162;9;0.1632712615;1275.0;3.0;9.94629E-5;0.0017052788;0.0016982339;6.0
Adult;Loss;10-anonymity;RGR;0.3;0.0;0.05;10;30162;9;0.1270961747;1511.0;2.0;6.63086E-5;0.0012673847;0.0012625252;8.0
Adult;Loss;10-anonymity;RGR;0.95;0.0;0.05;10;30162;9;0.0773942893;10867.0;4.0;1.326172E-4;0.0013359451;0.0013258718;82.0
Adult;Loss;10-anonymity;RGR;0.99999;0.0;0.05;10;30162;9;0.0751910005;61223.0;5.0;1.657715E-4;0.0014560632;0.0014435012;367.0
Cup;Loss;10-anonymity;RGR;0.05;0.0;0.05;10;63441;8;0.1564827842;8882.0;4.0;6.30507E-5;1.48241E-5;1.44413E-5;4.0
Cup;Loss;10-anonymity;RGR;0.1;0.0;0.05;10;63441;8;0.1242986108;8332.0;3.0;4.7288E-5;7.08177E-5;7.01777E-5;5.0
Cup;Loss;10-anonymity;RGR;0.2;0.0;0.05;10;63441;8;0.116562552;8970.0;7.0;1.103387E-4;0.0011516298;0.0011505226;6.0
Cup;Loss;10-anonymity;RGR;0.3;0.0;0.05;10;63441;8;0.1055842198;10840.0;2.0;3.15254E-5;4.561523E-4;4.557989E-4;8.0
Cup;Loss;10-anonymity;RGR;0.95;0.0;0.05;10;63441;8;0.086225417;72646.0;9.0;1.418641E-4;4.336192E-4;4.319295E-4;71.0
Cup;Loss;10-anonymity;RGR;0.99999;0.0;0.05;10;63441;8;0.0852535847;214909.0;3.0;4.7288E-5;4.10555E-4;4.099887E-4;187.0
Fars;Loss;10-anonymity;RGR;0.05;0.0;0.05;10;100937;8;0.1596125072;4777.0;5.0;4.95358E-5;1.625556E-4;1.612932E-4;5.0
Fars;Loss;10-anonymity;RGR;0.1;0.0;0.05;10;100937;8;0.1303205545;4361.0;5.0;4.95358E-5;2.183436E-4;2.169957E-4;9.0
