;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value
Fars;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;100937;8;0.1235613487;4318.0;10.0;9.90717E-5;0.0022307643;0.0022036754
Fars;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;100937;8;0.0994296895;4073.0;0.0;0.0;0.0064424649;0.0064424649
Fars;Loss;5-anonymity;RGR;0.2;0.0;0.05;5;100937;8;0.0850966717;4351.0;1.0;9.9072E-6;0.0047801443;0.004776978
Fars;Loss;5-anonymity;RGR;0.3;0.0;0.05;5;100937;8;0.0724560676;4414.0;4.0;3.96287E-5;0.0085381544;0.0085247523
Fars;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;100937;8;0.037539333;25780.0;4.0;3.96287E-5;0.0142253159;0.0142098284
Fars;Loss;5-anonymity;RGR;0.999;0.0;0.05;5;100937;8;0.0365501724;124128.0;1.0;9.9072E-6;0.0143569797;0.0143530914
Atus;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;539253;9;0.0581505981;16109.0;0.0;0.0;0.0090654376;0.0090654376
Atus;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;539253;9;0.0367084821;17635.0;0.0;0.0;0.0158254472;0.0158254472
Atus;Loss;5-anonymity;RGR;0.2;0.0;0.05;5;539253;9;0.0239811833;15747.0;2.0;3.7088E-6;0.0185709837;0.0185698555
Atus;Loss;5-anonymity;RGR;0.3;0.0;0.05;5;539253;9;0.0209701706;15887.0;3.0;5.5633E-6;0.0215748006;0.0215731084
Atus;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;539253;9;0.0123430025;87163.0;3.0;5.5633E-6;0.0190704834;0.0190686846
Atus;Loss;5-anonymity;RGR;0.999;0.0;0.05;5;539253;9;0.0114013527;891792.0;6.0;1.11265E-5;0.0185670246;0.0185634033
Ihis;Loss;5-anonymity;RGR;0.05;0.0;0.05;5;1193504;9;0.0992592388;64540.0;1.0;8.379E-7;0.0032486574;0.0032484886
Ihis;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;1193504;9;0.0573919245;63424.0;0.0;0.0;0.0038042999;0.0038042999
Ihis;Loss;5-anonymity;RGR;0.2;0.0;0.05;5;1193504;9;0.0425418132;60736.0;1.0;8.379E-7;0.0060989053;0.0060986529
Ihis;Loss;5-anonymity;RGR;0.3;0.0;0.05;5;1193504;9;0.0366528673;66075.0;2.0;1.6757E-6;0.0093589865;0.0093584809
Ihis;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;1193504;9;0.0219000321;339128.0;0.0;0.0;0.0123948599;0.0123948599
Ihis;Loss;5-anonymity;RGR;0.999;0.0;0.05;5;1193504;9;0.020899125;2021978.0;3.0;2.5136E-6;0.0118612775;0.0118603845
Fars;Loss;5-anonymity;Flash;0.05;0.5;0.0;5;100937;8;0.1539898767;4474.0;4597.0;0.0455432597;0.0122835612;2.58235E-5
Fars;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;100937;8;0.1528537804;5082.0;6438.0;0.0637823593;0.0182636575;2.53369E-5
Fars;Loss;5-anonymity;Flash;0.2;0.5;0.0;5;100937;8;0.1528537804;7119.0;6438.0;0.0637823593;0.0182636575;2.53369E-5
Fars;Loss;5-anonymity;Flash;0.3;0.5;0.0;5;100937;8;0.1528537804;8909.0;6438.0;0.0637823593;0.0182636575;2.53369E-5
Fars;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;100937;8;0.1528537804;17069.0;6438.0;0.0637823593;0.0182636575;2.53369E-5
Fars;Loss;5-anonymity;Flash;0.999;0.5;0.0;5;100937;8;0.1528537804;17713.0;6438.0;0.0637823593;0.0182636575;2.53369E-5
Atus;Loss;5-anonymity;Flash;0.05;0.5;0.0;5;539253;9;0.0869412567;13233.0;24177.0;0.0448342429;0.01709806;0.0059581036
Atus;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;539253;9;0.0869412567;13862.0;24177.0;0.0448342429;0.01709806;0.0059581036
Atus;Loss;5-anonymity;Flash;0.2;0.5;0.0;5;539253;9;0.0869412567;16208.0;24177.0;0.0448342429;0.01709806;0.0059581036
Atus;Loss;5-anonymity;Flash;0.3;0.5;0.0;5;539253;9;0.0869412567;16743.0;24177.0;0.0448342429;0.01709806;0.0059581036
Atus;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;539253;9;0.0869412567;16377.0;24177.0;0.0448342429;0.01709806;0.0059581036
Atus;Loss;5-anonymity;Flash;0.999;0.5;0.0;5;539253;9;0.0869412567;18375.0;24177.0;0.0448342429;0.01709806;0.0059581036
Ihis;Loss;5-anonymity;Flash;0.05;0.5;0.0;5;1193504;9;0.1322433958;70788.0;56015.0;0.0469332319;0.0093450858;0.0
Ihis;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;1193504;9;0.1288360138;88753.0;84659.0;0.0709331515;0.0162089557;0.0
Ihis;Loss;5-anonymity;Flash;0.2;0.5;0.0;5;1193504;9;0.1288360138;134410.0;84659.0;0.0709331515;0.0162089557;0.0
Ihis;Loss;5-anonymity;Flash;0.3;0.5;0.0;5;1193504;9;0.1288360138;184577.0;84659.0;0.0709331515;0.0162089557;0.0
Ihis;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;1193504;9;0.1288360138;233733.0;84659.0;0.0709331515;0.0162089557;0.0
Ihis;Loss;5-anonymity;Flash;0.999;0.5;0.0;5;1193504;9;0.1288360138;240663.0;84659.0;0.0709331515;0.0162089557;0.0
Fars;Loss;10-anonymity;RGR;0.05;0.0;0.05;10;100937;8;0.1596125072;4823.0;5.0;4.95358E-5;0.0044826442;0.004470604
Fars;Loss;10-anonymity;RGR;0.1;0.0;0.05;10;100937;8;0.1303205545;4460.0;5.0;4.95358E-5;0.0048615335;0.0048486264
Fars;Loss;10-anonymity;RGR;0.2;0.0;0.05;10;100937;8;0.1068239129;5233.0;2.0;1.98143E-5;0.0079407727;0.0079351534
Fars;Loss;10-anonymity;RGR;0.3;0.0;0.05;10;100937;8;0.0939788059;4632.0;9.0;8.91645E-5;0.0067966101;0.006769078
Fars;Loss;10-anonymity;RGR;0.95;0.0;0.05;10;100937;8;0.049733292;29059.0;1.0;9.9072E-6;0.0167834741;0.0167798578
